# Version 1.00
#
freq[Hz];db:Trc1_S11;ang:Trc1_S11;
2.320000000000000E+09;-1.982787955333456E+00;9.016528769885493E+01;
2.330000000000000E+09;-2.119800539199370E+00;7.719270404363370E+01;
2.340000000000000E+09;-2.306625025707543E+00;6.350402778602859E+01;
2.350000000000000E+09;-2.593567477606532E+00;4.861698368713304E+01;
2.360000000000000E+09;-3.130366211029505E+00;3.184228430370523E+01;
2.370000000000000E+09;-4.354465579244239E+00;1.193948211829755E+01;
2.380000000000000E+09;-8.059992346005414E+00;-1.050160934986619E+01;
2.390000000000000E+09;-1.592439579327642E+01;3.714891518630703E+01;
2.400000000000000E+09;-6.798941312842156E+00;4.862111010818387E+01;
2.410000000000000E+09;-4.057764238039601E+00;2.612319124417955E+01;
2.420000000000000E+09;-3.103946378030402E+00;6.832711156806723E+00;
2.430000000000000E+09;-2.683399631519293E+00;-9.758263828470298E+00;
2.440000000000000E+09;-2.448337357662997E+00;-2.471914769119429E+01;
2.450000000000000E+09;-2.298289262625173E+00;-3.874003133585388E+01;
2.460000000000000E+09;-2.188388960877165E+00;-5.206765243913699E+01;
2.470000000000000E+09;-2.102457243526915E+00;-6.489015816728866E+01;
2.480000000000000E+09;-2.019345078497575E+00;-7.736307707216842E+01;
2.490000000000000E+09;-1.946895800227503E+00;-8.955130287172628E+01;
2.500000000000000E+09;-1.885293604343613E+00;-1.015074127333832E+02;
2.510000000000000E+09;-1.832154218883970E+00;-1.131723065248420E+02;
2.520000000000000E+09;-1.784326884124677E+00;-1.246812185052551E+02;
2.530000000000000E+09;-1.743377667066964E+00;-1.360092515365405E+02;
2.540000000000000E+09;-1.706894393892890E+00;-1.472189260221909E+02;
2.550000000000000E+09;-1.680539353378998E+00;-1.582736680700459E+02;
2.560000000000000E+09;-1.663628210228894E+00;-1.692157773346307E+02;
2.570000000000000E+09;-1.652788760632000E+00;1.799216035326523E+02;
2.580000000000000E+09;-1.649929950900180E+00;1.690959478912670E+02;
2.590000000000000E+09;-1.653349929858021E+00;1.583361094728960E+02;
2.600000000000000E+09;-1.664523186424494E+00;1.475999725274322E+02;
2.610000000000000E+09;-1.686653386649206E+00;1.368542969526517E+02;
2.620000000000000E+09;-1.710955513959261E+00;1.260568763833875E+02;
2.630000000000000E+09;-1.742051979264265E+00;1.152506996748081E+02;
2.640000000000000E+09;-1.778723198154579E+00;1.043701079889825E+02;
2.650000000000000E+09;-1.821609621343269E+00;9.343172607377377E+01;
2.660000000000000E+09;-1.864095368619524E+00;8.235915473821115E+01;
2.670000000000000E+09;-1.904592433863771E+00;7.120405090878423E+01;
2.680000000000000E+09;-1.949773613354948E+00;5.997457104335706E+01;
2.690000000000000E+09;-1.995767487712798E+00;4.861852129572517E+01;
2.700000000000000E+09;-2.036226109064740E+00;3.712627394447709E+01;
2.710000000000000E+09;-2.073174750463512E+00;2.551935276591501E+01;
2.720000000000000E+09;-2.106657852617604E+00;1.379860461928543E+01;
2.730000000000000E+09;-2.132395492538061E+00;2.001820730147727E+00;
2.740000000000000E+09;-2.152306101346021E+00;-9.878982844205254E+00;
2.750000000000000E+09;-2.161323439906797E+00;-2.185955020938459E+01;
2.760000000000000E+09;-2.164909889791655E+00;-3.390768092063191E+01;
2.770000000000000E+09;-2.158140955463673E+00;-4.593482841339302E+01;
2.780000000000000E+09;-2.147628356659971E+00;-5.796728297499649E+01;
2.790000000000000E+09;-2.131289035328342E+00;-7.000159192289658E+01;
2.800000000000000E+09;-2.104677639649293E+00;-8.202368606210658E+01;
2.810000000000000E+09;-2.077059578068390E+00;-9.396690345483178E+01;
2.820000000000000E+09;-2.045091215948063E+00;-1.058340886460315E+02;
2.830000000000000E+09;-2.013861766851354E+00;-1.176641775208388E+02;
2.840000000000000E+09;-1.982204063307817E+00;-1.294154266634027E+02;
2.850000000000000E+09;-1.953485963007370E+00;-1.410985000737349E+02;
2.860000000000000E+09;-1.936806112009436E+00;-1.526892906306039E+02;
2.870000000000000E+09;-1.928117322614041E+00;-1.642127470162323E+02;
2.880000000000000E+09;-1.928022154434437E+00;-1.757763686778077E+02;
2.890000000000000E+09;-1.938901708166233E+00;1.726612900864421E+02;
2.900000000000000E+09;-1.966083729566573E+00;1.610856706589886E+02;
2.910000000000000E+09;-2.016692943886417E+00;1.493983482636021E+02;
2.920000000000000E+09;-2.097548719308887E+00;1.375583595332652E+02;
2.930000000000000E+09;-2.223377337864539E+00;1.254365062754883E+02;
2.940000000000000E+09;-2.421469138696746E+00;1.128377817501858E+02;
2.950000000000000E+09;-2.752398068161803E+00;9.966038803081389E+01;
2.960000000000000E+09;-3.333830974656876E+00;8.560184041926424E+01;
2.970000000000000E+09;-4.474045013530642E+00;7.057745818873153E+01;
2.980000000000000E+09;-6.980593592324317E+00;5.774172076672720E+01;
2.990000000000000E+09;-1.079349293713196E+01;6.895772095230797E+01;
3.000000000000000E+09;-8.021504736372036E+00;9.171849979371174E+01;
3.010000000000000E+09;-4.925369473397722E+00;8.104944880327368E+01;
3.020000000000000E+09;-3.589513516500091E+00;6.506056450781630E+01;
3.030000000000000E+09;-2.996009551360064E+00;4.981580459539892E+01;
3.040000000000000E+09;-2.708037951522664E+00;3.561979191157309E+01;
3.050000000000000E+09;-2.559419630850254E+00;2.216942328265445E+01;
3.060000000000000E+09;-2.483565999092284E+00;9.164824720465768E+00;
3.070000000000000E+09;-2.439860842041224E+00;-3.587958493386696E+00;
3.080000000000000E+09;-2.406927995291606E+00;-1.617538017522999E+01;
3.090000000000000E+09;-2.389288739947980E+00;-2.868398412922020E+01;
3.100000000000000E+09;-2.372011571839980E+00;-4.113971857385283E+01;
3.110000000000000E+09;-2.361724676490795E+00;-5.356420987833351E+01;
3.120000000000000E+09;-2.344925462268303E+00;-6.593449363852066E+01;
3.130000000000000E+09;-2.322570214782677E+00;-7.829179216366758E+01;
3.140000000000000E+09;-2.295431654548363E+00;-9.055655555454349E+01;
3.150000000000000E+09;-2.266046492973063E+00;-1.027784034421773E+02;
3.160000000000000E+09;-2.233791088030654E+00;-1.149246705363918E+02;
3.170000000000000E+09;-2.197922607626277E+00;-1.270336035070023E+02;
3.180000000000000E+09;-2.159704923958463E+00;-1.390212754596315E+02;
3.190000000000000E+09;-2.124464952959523E+00;-1.509055890254793E+02;
3.200000000000000E+09;-2.086192841328965E+00;-1.626429007843839E+02;
3.210000000000000E+09;-2.052990679056689E+00;-1.742480397374922E+02;
3.220000000000000E+09;-2.021076429722149E+00;1.742817386600954E+02;
3.230000000000000E+09;-1.995417781631832E+00;1.629429499342391E+02;
3.240000000000000E+09;-1.971385126945158E+00;1.517210965751570E+02;
3.250000000000000E+09;-1.950877510910430E+00;1.406314380050347E+02;
3.260000000000000E+09;-1.934296947701846E+00;1.296949319303570E+02;
3.270000000000000E+09;-1.924470198883376E+00;1.188094719516393E+02;
3.280000000000000E+09;-1.924242636676928E+00;1.080097124568451E+02;
3.290000000000000E+09;-1.927380326114937E+00;9.728457437175626E+01;
3.300000000000000E+09;-1.931961719168118E+00;8.665492077591202E+01;
3.310000000000000E+09;-1.946852776069241E+00;7.603415159990287E+01;
3.320000000000000E+09;-1.959798608990200E+00;6.543822729006354E+01;
3.330000000000000E+09;-1.979879575944521E+00;5.483936931805329E+01;
3.340000000000000E+09;-2.003969241512371E+00;4.425049752807562E+01;
3.350000000000000E+09;-2.028099613087333E+00;3.363102269743403E+01;
3.360000000000000E+09;-2.055131900093978E+00;2.295936853941916E+01;
3.370000000000000E+09;-2.088331165438640E+00;1.219503783671767E+01;
3.380000000000000E+09;-2.120122271494060E+00;1.364962284125546E+00;
3.390000000000000E+09;-2.147808216238497E+00;-9.541489117647371E+00;
3.400000000000000E+09;-2.180176776755807E+00;-2.056414254173652E+01;
3.410000000000000E+09;-2.211820749896505E+00;-3.170286390317785E+01;
3.420000000000000E+09;-2.240604491176656E+00;-4.296698856768711E+01;
3.430000000000000E+09;-2.268162538517689E+00;-5.436326930755244E+01;
3.440000000000000E+09;-2.290656183033355E+00;-6.587467254808087E+01;
3.450000000000000E+09;-2.306923943847462E+00;-7.752337818507910E+01;
3.460000000000000E+09;-2.322023146109525E+00;-8.925792899675324E+01;
3.470000000000000E+09;-2.328529518784587E+00;-1.010859076187103E+02;
3.480000000000000E+09;-2.328786081897957E+00;-1.129937100913230E+02;
3.490000000000000E+09;-2.328441977840001E+00;-1.249839865372031E+02;
3.500000000000000E+09;-2.320999084501695E+00;-1.370061636579651E+02;
3.510000000000000E+09;-2.308847848225130E+00;-1.490174501268106E+02;
3.520000000000000E+09;-2.293198113461224E+00;-1.610290225984690E+02;
3.530000000000000E+09;-2.269011993714852E+00;-1.729628719176330E+02;
3.540000000000000E+09;-2.244046920886225E+00;1.751462577147313E+02;
3.550000000000000E+09;-2.219457634658864E+00;1.633359087977878E+02;
3.560000000000000E+09;-2.196093348684029E+00;1.516436659037025E+02;
3.570000000000000E+09;-2.170364964595381E+00;1.400669737074921E+02;
3.580000000000000E+09;-2.147142707211059E+00;1.286337815840409E+02;
3.590000000000000E+09;-2.123431333685306E+00;1.173167460552244E+02;
3.600000000000000E+09;-2.101161227480221E+00;1.061637634673825E+02;
3.610000000000000E+09;-2.087455505998796E+00;9.512265966730361E+01;
3.620000000000000E+09;-2.072950463172907E+00;8.423483423170815E+01;
3.630000000000000E+09;-2.062146130999097E+00;7.344794655516034E+01;
3.640000000000000E+09;-2.056118159403938E+00;6.278575048701857E+01;
3.650000000000000E+09;-2.052968613797937E+00;5.221851982079466E+01;
3.660000000000000E+09;-2.056091629756821E+00;4.170191291874696E+01;
3.670000000000000E+09;-2.061810004955536E+00;3.124040123893000E+01;
3.680000000000000E+09;-2.068856184256709E+00;2.083390763177595E+01;
3.690000000000000E+09;-2.078651333906874E+00;1.044804791987098E+01;
3.700000000000000E+09;-2.095081555182075E+00;7.187991273755431E-02;
3.710000000000000E+09;-2.115108759091183E+00;-1.036244090047325E+01;
3.720000000000000E+09;-2.140564176630843E+00;-2.085318507427455E+01;
3.730000000000000E+09;-2.167095403016306E+00;-3.140107387813953E+01;
3.740000000000000E+09;-2.192790747024276E+00;-4.205023241571590E+01;
3.750000000000000E+09;-2.223713191098622E+00;-5.282192982593772E+01;
3.760000000000000E+09;-2.257921875351457E+00;-6.374899641164897E+01;
3.770000000000000E+09;-2.290943199929763E+00;-7.482382238410545E+01;
3.780000000000000E+09;-2.324862430849401E+00;-8.605040034136499E+01;
3.790000000000000E+09;-2.356374023152370E+00;-9.743661893629034E+01;
3.800000000000000E+09;-2.387410981039046E+00;-1.090213715915105E+02;
3.810000000000000E+09;-2.418277442061580E+00;-1.208049275880230E+02;
3.820000000000000E+09;-2.441222126191727E+00;-1.327234666742454E+02;
3.830000000000000E+09;-2.456601688000649E+00;-1.447980490123723E+02;
3.840000000000000E+09;-2.472706329640506E+00;-1.569572776369058E+02;
3.850000000000000E+09;-2.478772768683176E+00;-1.692669377121944E+02;
3.860000000000000E+09;-2.480722753191350E+00;1.783642324881446E+02;
3.870000000000000E+09;-2.476904505532771E+00;1.660053296484425E+02;
3.880000000000000E+09;-2.463806289176447E+00;1.536847901899148E+02;
3.890000000000000E+09;-2.447035318496391E+00;1.413943476644725E+02;
3.900000000000000E+09;-2.424625633865013E+00;1.292248788105099E+02;
3.910000000000000E+09;-2.393650585784379E+00;1.171740129621722E+02;
3.920000000000000E+09;-2.363620980350672E+00;1.053097962170754E+02;
3.930000000000000E+09;-2.329122147818850E+00;9.360235869518355E+01;
3.940000000000000E+09;-2.296612523350028E+00;8.210239916327123E+01;
3.950000000000000E+09;-2.264449266606861E+00;7.080435363653855E+01;
3.960000000000000E+09;-2.231398910131813E+00;5.970171548562551E+01;
3.970000000000000E+09;-2.204794161191272E+00;4.879172690220625E+01;
3.980000000000000E+09;-2.180323973844390E+00;3.806141514497018E+01;
3.990000000000000E+09;-2.163331001872574E+00;2.749378485808099E+01;
4.000000000000000E+09;-2.145848394043030E+00;1.703996883493482E+01;
