# Version 1.00
#
freq[Hz];db:Trc1_S11;ang:Trc1_S11;db:Trc2_S21;ang:Trc2_S21;db:Trc3_S21;ang:Trc3_S21;db:Trc4_S22;ang:Trc4_S22;db:Mem5[Trc2]_S21;ang:Mem5[Trc2]_S21;
2.625000000000000E+09;-5.583184647901749E+00;-1.956598877928827E+01;1.663494055438961E+01;6.222653177079026E+00;1.663494055438961E+01;6.222653177079026E+00;-6.510243638802359E+00;-1.476390828834008E+02;5.821253308491895E+01;6.203828628975349E+00;
2.626000000000000E+09;-5.587598054991556E+00;-1.979087450083318E+01;1.665429831800362E+01;4.993414509763780E+00;1.665429831800362E+01;4.993414509763780E+00;-6.528969194380389E+00;-1.493319392388378E+02;5.833397811482696E+01;3.890220828743641E+00;
2.627000000000000E+09;-5.610736169972834E+00;-2.005283625431041E+01;1.666862557457393E+01;3.769818219952809E+00;1.666862557457393E+01;3.769818219952809E+00;-6.523889099458751E+00;-1.511255498978323E+02;5.817769251202016E+01;4.709187061456058E+00;
2.628000000000000E+09;-5.620230046445340E+00;-2.026706453253226E+01;1.668739410710383E+01;2.526223642435363E+00;1.668739410710383E+01;2.526223642435363E+00;-6.522431138903819E+00;-1.527014030800103E+02;5.834870293980530E+01;6.054583152385815E+00;
2.629000000000000E+09;-5.643231906509689E+00;-2.052587159751900E+01;1.670689565188729E+01;1.312344928755036E+00;1.670689565188729E+01;1.312344928755036E+00;-6.539957511067758E+00;-1.543778904163090E+02;5.802162729372444E+01;6.124589800584274E+00;
2.630000000000000E+09;-5.662719036598354E+00;-2.070507574003407E+01;1.672304049404352E+01;1.034770983526709E-01;1.672304049404352E+01;1.034770983526709E-01;-6.546311936030528E+00;-1.560540690755823E+02;5.818550102540765E+01;4.350968177921003E+00;
2.631000000000000E+09;-5.677527504016304E+00;-2.101801135694956E+01;1.674256337162407E+01;-1.101461659478052E+00;1.674256337162407E+01;-1.101461659478052E+00;-6.558365074734132E+00;-1.577720196980967E+02;5.816837521346063E+01;2.954135612153237E+00;
2.632000000000000E+09;-5.693909309189201E+00;-2.121529792823494E+01;1.676127953331884E+01;-2.339998079337104E+00;1.676127953331884E+01;-2.339998079337104E+00;-6.562111499085274E+00;-1.593534479893873E+02;5.825543837061537E+01;5.825591583111152E+00;
2.633000000000000E+09;-5.716962605545691E+00;-2.148899036531419E+01;1.678209958500205E+01;-3.542767255215046E+00;1.678209958500205E+01;-3.542767255215046E+00;-6.576307920583142E+00;-1.610133501031457E+02;5.810208205655582E+01;5.128604592214627E+00;
2.634000000000000E+09;-5.731188169466948E+00;-2.169642937488684E+01;1.680104645012324E+01;-4.789873795585173E+00;1.680104645012324E+01;-4.789873795585173E+00;-6.585535745638726E+00;-1.626768655297535E+02;5.816707659862345E+01;6.207722181347044E+00;
2.635000000000000E+09;-5.753922890073486E+00;-2.198879280840638E+01;1.681712428805374E+01;-5.996489379145687E+00;1.681712428805374E+01;-5.996489379145687E+00;-6.605625072139239E+00;-1.642698819056408E+02;5.802783036529759E+01;4.244358740425614E+00;
2.636000000000000E+09;-5.764753739883059E+00;-2.217491111012857E+01;1.683981448904235E+01;-7.250369465128109E+00;1.683981448904235E+01;-7.250369465128109E+00;-6.617297459207563E+00;-1.658923308870743E+02;5.807564500819788E+01;3.639531825961280E+00;
2.637000000000000E+09;-5.783278700976257E+00;-2.244042548299942E+01;1.686023901043939E+01;-8.451101462504488E+00;1.686023901043939E+01;-8.451101462504488E+00;-6.637459132025069E+00;-1.675551371345563E+02;5.832557671986812E+01;4.778951078158771E+00;
2.638000000000000E+09;-5.814948958071459E+00;-2.261668491631992E+01;1.687960217271786E+01;-9.660730469901278E+00;1.687960217271786E+01;-9.660730469901278E+00;-6.642078764426202E+00;-1.691415455469414E+02;5.809602853496310E+01;5.097972413201242E+00;
2.639000000000000E+09;-5.822568762314798E+00;-2.287092566338016E+01;1.690400670380986E+01;-1.090917009798640E+01;1.690400670380986E+01;-1.090917009798640E+01;-6.674617789548530E+00;-1.707852969372132E+02;5.807624011871382E+01;4.581380359371066E+00;
2.640000000000000E+09;-5.850968434138415E+00;-2.312866760885928E+01;1.692491431492724E+01;-1.211118793253321E+01;1.692491431492724E+01;-1.211118793253321E+01;-6.688871415641627E+00;-1.724358371257114E+02;5.795713534017342E+01;5.363647116461128E+00;
2.641000000000000E+09;-5.862166100187461E+00;-2.339860712088815E+01;1.694746535890506E+01;-1.336039846487486E+01;1.694746535890506E+01;-1.336039846487486E+01;-6.703013228776332E+00;-1.740048153240449E+02;5.820988313878594E+01;4.900690046592675E+00;
2.642000000000000E+09;-5.882439260498860E+00;-2.362005513220533E+01;1.696898792886429E+01;-1.458055672083075E+01;1.696898792886429E+01;-1.458055672083075E+01;-6.722242138676629E+00;-1.756179288930427E+02;5.811632636302949E+01;4.157474013888922E+00;
2.643000000000000E+09;-5.909879770245689E+00;-2.384596982549750E+01;1.699413382864481E+01;-1.579961303078582E+01;1.699413382864481E+01;-1.579961303078582E+01;-6.741063533785129E+00;-1.772222893059106E+02;5.800132605419322E+01;5.868437964548645E+00;
2.644000000000000E+09;-5.932896141154576E+00;-2.414258952259537E+01;1.701353406040904E+01;-1.702112679624982E+01;1.701353406040904E+01;-1.702112679624982E+01;-6.772437638292419E+00;-1.787466930743719E+02;5.786451036651129E+01;3.702039381056239E+00;
2.645000000000000E+09;-5.949845840571715E+00;-2.435995440668957E+01;1.703926162696531E+01;-1.827116592318987E+01;1.703926162696531E+01;-1.827116592318987E+01;-6.795142971910320E+00;1.795682638938661E+02;5.813748460399562E+01;7.036656875161757E+00;
