# Version 1.00
#
freq[Hz];db:Trc1_S11;ang:Trc1_S11;db:Trc2_S21;ang:Trc2_S21;db:Trc3_S21;ang:Trc3_S21;db:Trc4_S22;ang:Trc4_S22;db:Mem5[Trc2]_S21;ang:Mem5[Trc2]_S21;db:Mem6[Trc3]_S21;ang:Mem6[Trc3]_S21;
2.615000000000000E+09;-4.912678173538670E+00;-1.637498461520066E+01;1.594805992032692E+01;1.643695724943592E+01;1.594805992032692E+01;1.643695724943592E+01;-6.099250777244754E+00;-1.331982214014599E+02;5.838207792703359E+01;5.528019980045624E+00;1.648006351253787E+01;1.849155473808382E+01;
2.616000000000000E+09;-4.927582563568100E+00;-1.656496571470738E+01;1.596843607899113E+01;1.518189736032021E+01;1.596843607899113E+01;1.518189736032021E+01;-6.106011410354134E+00;-1.350513036947095E+02;5.827808285296265E+01;4.973157133237661E+00;1.649598216532796E+01;1.724118365761226E+01;
2.617000000000000E+09;-4.951074493176228E+00;-1.676570118184101E+01;1.598641102894297E+01;1.398347984687096E+01;1.598641102894297E+01;1.398347984687096E+01;-6.106009380307301E+00;-1.368076023306591E+02;5.822395584610802E+01;6.194416941639433E+00;1.651121472738072E+01;1.602493426685903E+01;
2.618000000000000E+09;-4.966139043171761E+00;-1.700856985395573E+01;1.600083082239671E+01;1.276335415315984E+01;1.600083082239671E+01;1.276335415315984E+01;-6.113446987306935E+00;-1.386302626203938E+02;5.853409808743628E+01;5.972478458539980E+00;1.652208397791270E+01;1.480165704052573E+01;
2.619000000000000E+09;-4.974809812548560E+00;-1.719110686947432E+01;1.602455969844719E+01;1.154911707525986E+01;1.602455969844719E+01;1.154911707525986E+01;-6.123391047037975E+00;-1.404065659743773E+02;5.813362330632052E+01;6.746862766682487E+00;1.654216730303868E+01;1.356762777357427E+01;
2.620000000000000E+09;-4.992925151314440E+00;-1.741005325239289E+01;1.604069141588734E+01;1.031797745048267E+01;1.604069141588734E+01;1.031797745048267E+01;-6.133956754508475E+00;-1.421589230419391E+02;5.837168018343047E+01;5.373445545691092E+00;1.655188428176442E+01;1.234772116336842E+01;
2.621000000000000E+09;-5.001682434002727E+00;-1.760807219483806E+01;1.606264916741720E+01;9.089487391124946E+00;1.606264916741720E+01;9.089487391124946E+00;-6.129779773077119E+00;-1.439698253164637E+02;5.859201931001635E+01;5.499849942377249E+00;1.656915240065204E+01;1.111254307854014E+01;
2.622000000000000E+09;-5.018601122789392E+00;-1.785041784233843E+01;1.608435865758247E+01;7.890237805332192E+00;1.608435865758247E+01;7.890237805332192E+00;-6.148717660682234E+00;-1.457151132173768E+02;5.834685335759836E+01;5.718174643061732E+00;1.658821397243835E+01;9.906768564702729E+00;
2.623000000000000E+09;-5.025617252315558E+00;-1.804766247011635E+01;1.610424853430509E+01;6.647099133925111E+00;1.610424853430509E+01;6.647099133925111E+00;-6.150729464119259E+00;-1.475179275132912E+02;5.815098857216499E+01;4.663685051270913E+00;1.660312530710804E+01;8.661477040184336E+00;
2.624000000000000E+09;-5.049894112352752E+00;-1.823852895659594E+01;1.612473242891462E+01;5.430717008208367E+00;1.612473242891462E+01;5.430717008208367E+00;-6.163369097088710E+00;-1.492296473334623E+02;5.799836619276549E+01;6.304058770851965E+00;1.662282333872051E+01;7.439235996212944E+00;
