# Version 1.00
#
freq[Hz];db:Trc1_S11;ang:Trc1_S11;db:Trc2_S21;ang:Trc2_S21;db:Trc3_S21;ang:Trc3_S21;db:Trc4_S22;ang:Trc4_S22;db:Mem5[Trc2]_S21;ang:Mem5[Trc2]_S21;db:Mem6[Trc3]_S21;ang:Mem6[Trc3]_S21;
2.600000000000000E+09;-4.965885276018086E+00;-7.080884352067590E+00;1.574028522959289E+01;4.190747729150043E+01;1.574028522959289E+01;4.190747729150043E+01;-6.049638826183246E+00;-9.625932027976913E+01;5.875381254601205E+01;5.590136416300765E+00;1.630972997441244E+01;3.698412054013914E+01;
2.601000000000000E+09;-4.985520276097458E+00;-7.318900586477702E+00;1.575114235928973E+01;4.067544586664192E+01;1.575114235928973E+01;4.067544586664192E+01;-6.066588319757598E+00;-9.824982043051851E+01;5.829970060370935E+01;6.637685966987369E+00;1.631708243224980E+01;3.573893475432551E+01;
2.602000000000000E+09;-4.995609683098421E+00;-7.547412496999678E+00;1.576550270211253E+01;3.943914574999068E+01;1.576550270211253E+01;3.943914574999068E+01;-6.072872540198056E+00;-1.001906738987799E+02;5.834211516455704E+01;5.470699894186045E+00;1.632935901427543E+01;3.448558743069438E+01;
2.603000000000000E+09;-5.005392723686017E+00;-7.717506537902567E+00;1.577404346502198E+01;3.821733815597135E+01;1.577404346502198E+01;3.821733815597135E+01;-6.060628004091930E+00;-1.020364214531657E+02;5.843676251362464E+01;5.518854381021189E+00;1.633657330198924E+01;3.325659208953503E+01;
2.604000000000000E+09;-5.015756976081912E+00;-7.901281032339166E+00;1.579089331931797E+01;3.698249266657273E+01;1.579089331931797E+01;3.698249266657273E+01;-6.063465623925566E+00;-1.039391592787194E+02;5.828202319974036E+01;5.410608723094036E+00;1.635010593029453E+01;3.200557222194938E+01;
2.605000000000000E+09;-5.033561848924882E+00;-8.126357727661695E+00;1.580085998833262E+01;3.572643702285842E+01;1.580085998833262E+01;3.572643702285842E+01;-6.058108292126510E+00;-1.058493254519432E+02;5.852947654459741E+01;5.218525276507603E+00;1.636083326896010E+01;3.077079092548443E+01;
2.606000000000000E+09;-5.047016420867841E+00;-8.336931669241642E+00;1.581102745737128E+01;3.450167870404939E+01;1.581102745737128E+01;3.450167870404939E+01;-6.055500520135515E+00;-1.077374120792108E+02;5.864221660032482E+01;3.859098787865723E+00;1.636734943563035E+01;2.952872927473528E+01;
2.607000000000000E+09;-5.055984443344399E+00;-8.529738829273596E+00;1.582357996458002E+01;3.327875223205580E+01;1.582357996458002E+01;3.327875223205580E+01;-6.046788561455712E+00;-1.096259009677163E+02;5.856255147473292E+01;5.545083365164797E+00;1.637838845176719E+01;2.832405463445756E+01;
2.608000000000000E+09;-5.073412958107899E+00;-8.680008667404469E+00;1.583822835199401E+01;3.205935927457401E+01;1.583822835199401E+01;3.205935927457401E+01;-6.054475330716347E+00;-1.114579753030449E+02;5.811485350005339E+01;7.477154673473003E+00;1.639050996539434E+01;2.709661346849334E+01;
2.609000000000000E+09;-5.085247443975586E+00;-8.923157803423114E+00;1.585124428277376E+01;3.084367204168483E+01;1.585124428277376E+01;3.084367204168483E+01;-6.046853367251835E+00;-1.133197661869242E+02;5.828841201875689E+01;6.426206352270406E+00;1.640240020665938E+01;2.586286382342897E+01;
