# Version 1.00
#
freq[Hz];db:Trc1_S11;ang:Trc1_S11;db:Trc2_S21;ang:Trc2_S21;db:Trc3_S21;ang:Trc3_S21;db:Trc4_S22;ang:Trc4_S22;db:Mem5[Trc2]_S21;ang:Mem5[Trc2]_S21;db:Mem6[Trc3]_S21;ang:Mem6[Trc3]_S21;
2.600000000000000E+09;-4.834113213454809E+00;-6.860979713202990E+00;1.586849804544016E+01;4.574744047167148E+01;1.586849804544016E+01;4.574744047167148E+01;-6.442389630531685E+00;-9.612303213063603E+01;5.875381254601205E+01;5.590136416300765E+00;1.630972997441244E+01;3.698412054013914E+01;
2.601000000000000E+09;-4.843493315454365E+00;-7.101139737133938E+00;1.587572915703385E+01;4.451343326191738E+01;1.587572915703385E+01;4.451343326191738E+01;-6.439590535060031E+00;-9.811895660952705E+01;5.829970060370935E+01;6.637685966987369E+00;1.631708243224980E+01;3.573893475432551E+01;
2.602000000000000E+09;-4.858446701609478E+00;-7.260261793897459E+00;1.588349710901090E+01;4.326417080984024E+01;1.588349710901090E+01;4.326417080984024E+01;-6.438722643318167E+00;-1.001263380286649E+02;5.834211516455704E+01;5.470699894186045E+00;1.632935901427543E+01;3.448558743069438E+01;
2.603000000000000E+09;-4.854724453359841E+00;-7.483843448849793E+00;1.589277120477049E+01;4.200449407844751E+01;1.589277120477049E+01;4.200449407844751E+01;-6.426809467814519E+00;-1.020364261047176E+02;5.843676251362464E+01;5.518854381021189E+00;1.633657330198924E+01;3.325659208953503E+01;
2.604000000000000E+09;-4.870261638486703E+00;-7.633129070560891E+00;1.590532705530665E+01;4.077871624139772E+01;1.590532705530665E+01;4.077871624139772E+01;-6.421677047598680E+00;-1.040094898540606E+02;5.828202319974036E+01;5.410608723094036E+00;1.635010593029453E+01;3.200557222194938E+01;
2.605000000000000E+09;-4.884487762302446E+00;-7.854853224354016E+00;1.591140107384986E+01;3.951746057457755E+01;1.591140107384986E+01;3.951746057457755E+01;-6.405042275131654E+00;-1.059319277630037E+02;5.852947654459741E+01;5.218525276507603E+00;1.636083326896010E+01;3.077079092548443E+01;
2.606000000000000E+09;-4.895262204220905E+00;-8.045275606491137E+00;1.591612852764587E+01;3.826826834395978E+01;1.591612852764587E+01;3.826826834395978E+01;-6.393409480489059E+00;-1.078890585776011E+02;5.864221660032482E+01;3.859098787865723E+00;1.636734943563035E+01;2.952872927473528E+01;
2.607000000000000E+09;-4.901932646986272E+00;-8.219303563673163E+00;1.592486904427264E+01;3.704344479348481E+01;1.592486904427264E+01;3.704344479348481E+01;-6.387804602333493E+00;-1.097810117621100E+02;5.856255147473292E+01;5.545083365164797E+00;1.637838845176719E+01;2.832405463445756E+01;
2.608000000000000E+09;-4.920544527803156E+00;-8.422097017487037E+00;1.593583205755403E+01;3.580798344849779E+01;1.593583205755403E+01;3.580798344849779E+01;-6.378354137789620E+00;-1.116842334827683E+02;5.811485350005339E+01;7.477154673473003E+00;1.639050996539434E+01;2.709661346849334E+01;
2.609000000000000E+09;-4.931407754935000E+00;-8.633948867652466E+00;1.594363214465454E+01;3.457665738288019E+01;1.594363214465454E+01;3.457665738288019E+01;-6.363944605324604E+00;-1.136145828823333E+02;5.828841201875689E+01;6.426206352270406E+00;1.640240020665938E+01;2.586286382342897E+01;
2.610000000000000E+09;-4.936045237026140E+00;-8.831413491552327E+00;1.595503013490989E+01;3.331530657584381E+01;1.595503013490989E+01;3.331530657584381E+01;-6.362491838209947E+00;-1.155159651808660E+02;5.837983676716844E+01;5.868037459868741E+00;1.641545044168245E+01;2.460148913144127E+01;
2.611000000000000E+09;-4.947368942328604E+00;-9.005405549755984E+00;1.596908096198509E+01;3.207893173119646E+01;1.596908096198509E+01;3.207893173119646E+01;-6.351979698147766E+00;-1.174162882570178E+02;5.848689833231489E+01;6.189184458622894E+00;1.643023631725844E+01;2.338266068879198E+01;
2.612000000000000E+09;-4.968188608840297E+00;-9.243467658840347E+00;1.597635477073825E+01;3.084847304511645E+01;1.597635477073825E+01;3.084847304511645E+01;-6.349175254627660E+00;-1.192719308565974E+02;5.843657709825393E+01;4.564119327738045E+00;1.644344084280316E+01;2.215871290465423E+01;
