meas_frequency_Hz,meas_power_dBm
987500000.0,-129.8974609375
987525000.0,-130.66717529296875
987550000.0,-129.7437744140625
987575000.0,-131.03753662109375
987600000.0,-130.8101806640625
987625000.0,-131.5048828125
987650000.0,-131.0194854736328
987675000.0,-129.76942443847656
987700000.0,-130.46568298339844
987725000.0,-130.43289184570312
987750000.0,-130.3037109375
987775000.0,-130.19778442382812
987800000.0,-130.22369384765625
987825000.0,-129.4964141845703
987850000.0,-130.4315643310547
987875000.0,-130.13156127929688
987900000.0,-130.3802947998047
987925000.0,-131.19374084472656
987950000.0,-130.8096466064453
987975000.0,-130.2828369140625
988000000.0,-130.20278930664062
988025000.0,-130.78916931152344
988050000.0,-130.42620849609375
988075000.0,-129.8824920654297
988100000.0,-130.6641845703125
988125000.0,-130.11952209472656
988150000.0,-128.83346557617188
988175000.0,-130.79981994628906
988200000.0,-130.1556854248047
988225000.0,-130.48782348632812
988250000.0,-131.36346435546875
988275000.0,-130.9824676513672
988300000.0,-129.9029083251953
988325000.0,-130.92750549316406
988350000.0,-130.05831909179688
988375000.0,-131.2423858642578
988400000.0,-129.86154174804688
988425000.0,-130.10336303710938
988450000.0,-130.37147521972656
988475000.0,-130.3686065673828
988500000.0,-130.86004638671875
988525000.0,-130.72882080078125
988550000.0,-130.77816772460938
988575000.0,-130.56146240234375
988600000.0,-129.86859130859375
988625000.0,-130.39456176757812
988650000.0,-129.98135375976562
988675000.0,-130.1238250732422
988700000.0,-130.7866973876953
988725000.0,-129.8850555419922
988750000.0,-130.6301727294922
988775000.0,-130.81639099121094
988800000.0,-130.46194458007812
988825000.0,-130.2493133544922
988850000.0,-130.4163818359375
988875000.0,-130.95567321777344
988900000.0,-130.2849578857422
988925000.0,-130.01319885253906
988950000.0,-130.251708984375
988975000.0,-130.33380126953125
989000000.0,-131.49285888671875
989025000.0,-130.19705200195312
989050000.0,-129.47715759277344
989075000.0,-130.00938415527344
989100000.0,-130.5575408935547
989125000.0,-130.37791442871094
989150000.0,-130.2644500732422
989175000.0,-130.5546417236328
989200000.0,-131.15048217773438
989225000.0,-130.7413787841797
989250000.0,-130.66207885742188
989275000.0,-130.5920867919922
989300000.0,-129.47364807128906
989325000.0,-130.3374786376953
989350000.0,-130.07664489746094
989375000.0,-129.7701416015625
989400000.0,-130.16207885742188
989425000.0,-129.66835021972656
989450000.0,-130.70555114746094
989475000.0,-130.0519256591797
989500000.0,-130.72555541992188
989525000.0,-129.25131225585938
989550000.0,-130.60165405273438
989575000.0,-129.29525756835938
989600000.0,-130.9683074951172
989625000.0,-129.72445678710938
989650000.0,-131.26856994628906
989675000.0,-129.94430541992188
989700000.0,-131.3240203857422
989725000.0,-129.49964904785156
989750000.0,-131.3825225830078
989775000.0,-130.2694091796875
989800000.0,-130.36273193359375
989825000.0,-130.73605346679688
989850000.0,-130.22927856445312
989875000.0,-130.44134521484375
989900000.0,-130.71034240722656
989925000.0,-131.48240661621094
989950000.0,-131.0371551513672
989975000.0,-130.0000457763672
990000000.0,-126.9779052734375
990025000.0,-129.89215087890625
990050000.0,-129.91131591796875
990075000.0,-129.7113494873047
990100000.0,-129.706298828125
990125000.0,-130.221923828125
990150000.0,-130.8262939453125
990175000.0,-130.5111083984375
990200000.0,-129.53469848632812
990225000.0,-130.2687530517578
990250000.0,-130.50091552734375
990275000.0,-130.18035888671875
990300000.0,-129.8438262939453
990325000.0,-130.27703857421875
990350000.0,-131.08290100097656
990375000.0,-130.77969360351562
990400000.0,-129.7184295654297
990425000.0,-129.60267639160156
990450000.0,-131.30792236328125
990475000.0,-130.13363647460938
990500000.0,-130.38658142089844
990525000.0,-129.2596893310547
990550000.0,-129.6321258544922
990575000.0,-129.9073944091797
990600000.0,-130.89459228515625
990625000.0,-130.2660675048828
990650000.0,-130.0714111328125
990675000.0,-130.5721435546875
990700000.0,-131.28343200683594
990725000.0,-130.02488708496094
990750000.0,-130.31710815429688
990775000.0,-130.76223754882812
990800000.0,-130.30606079101562
990825000.0,-130.8001708984375
990850000.0,-131.134521484375
990875000.0,-130.56309509277344
990900000.0,-129.28514099121094
990925000.0,-129.57864379882812
990950000.0,-130.12326049804688
990975000.0,-130.33421325683594
991000000.0,-129.9825897216797
991025000.0,-128.9713134765625
991050000.0,-130.726318359375
991075000.0,-131.18431091308594
991100000.0,-130.74656677246094
991125000.0,-130.14031982421875
991150000.0,-130.7376708984375
991175000.0,-129.90794372558594
991200000.0,-130.0855255126953
991225000.0,-130.1619110107422
991250000.0,-130.04039001464844
991275000.0,-130.96742248535156
991300000.0,-130.92428588867188
991325000.0,-130.7338104248047
991350000.0,-129.80140686035156
991375000.0,-130.13148498535156
991400000.0,-129.8232879638672
991425000.0,-130.28549194335938
