meas_frequency_Hz,meas_power_dBm
987500000.0,-131.76495361328125
987525000.0,-131.7344512939453
987550000.0,-131.73306274414062
987575000.0,-132.31008911132812
987600000.0,-131.79444885253906
987625000.0,-131.619384765625
987650000.0,-131.406494140625
987675000.0,-131.48597717285156
987700000.0,-130.08154296875
987725000.0,-130.97723388671875
987750000.0,-132.2893829345703
987775000.0,-130.80531311035156
987800000.0,-131.10128784179688
987825000.0,-132.2181854248047
987850000.0,-130.90005493164062
987875000.0,-131.5142822265625
987900000.0,-130.8499755859375
987925000.0,-130.66270446777344
987950000.0,-130.4461669921875
987975000.0,-131.01210021972656
988000000.0,-131.04287719726562
988025000.0,-129.5117645263672
988050000.0,-132.02169799804688
988075000.0,-131.67245483398438
988100000.0,-131.91831970214844
988125000.0,-131.8306884765625
988150000.0,-131.56948852539062
988175000.0,-131.81936645507812
988200000.0,-131.62820434570312
988225000.0,-130.74444580078125
988250000.0,-131.6785888671875
988275000.0,-131.48191833496094
988300000.0,-131.97775268554688
988325000.0,-131.4484405517578
988350000.0,-131.2744140625
988375000.0,-132.10202026367188
988400000.0,-131.758056640625
988425000.0,-131.197021484375
988450000.0,-130.91114807128906
988475000.0,-131.92530822753906
988500000.0,-131.8009490966797
988525000.0,-129.97610473632812
988550000.0,-131.39181518554688
988575000.0,-131.3165740966797
988600000.0,-132.09408569335938
988625000.0,-132.07754516601562
988650000.0,-130.89930725097656
988675000.0,-132.00421142578125
988700000.0,-131.86155700683594
988725000.0,-131.6323699951172
988750000.0,-130.87069702148438
988775000.0,-130.43861389160156
988800000.0,-131.4683074951172
988825000.0,-130.2812957763672
988850000.0,-131.38128662109375
988875000.0,-131.24070739746094
988900000.0,-131.6861572265625
988925000.0,-131.02037048339844
988950000.0,-131.7266387939453
988975000.0,-131.71034240722656
989000000.0,-131.4234619140625
989025000.0,-131.55259704589844
989050000.0,-130.59815979003906
989075000.0,-131.48345947265625
989100000.0,-131.30462646484375
989125000.0,-131.43600463867188
989150000.0,-131.5061492919922
989175000.0,-131.6715087890625
989200000.0,-131.6276397705078
989225000.0,-131.56715393066406
989250000.0,-131.31260681152344
989275000.0,-131.06857299804688
989300000.0,-131.75836181640625
989325000.0,-130.97349548339844
989350000.0,-131.08383178710938
989375000.0,-131.40174865722656
989400000.0,-132.04476928710938
989425000.0,-131.7278594970703
989450000.0,-131.15264892578125
989475000.0,-132.21031188964844
989500000.0,-130.89512634277344
989525000.0,-131.45147705078125
989550000.0,-131.82723999023438
989575000.0,-131.2661590576172
989600000.0,-129.92308044433594
989625000.0,-131.8914794921875
989650000.0,-131.651123046875
989675000.0,-130.80613708496094
989700000.0,-131.9425506591797
989725000.0,-131.2696990966797
989750000.0,-131.73211669921875
989775000.0,-132.2328643798828
989800000.0,-130.7592315673828
989825000.0,-131.60220336914062
989850000.0,-131.4464111328125
989875000.0,-132.08998107910156
989900000.0,-130.97598266601562
989925000.0,-131.69635009765625
989950000.0,-130.13995361328125
989975000.0,-131.7642059326172
990000000.0,-131.55267333984375
990025000.0,-131.6628875732422
990050000.0,-131.31240844726562
990075000.0,-132.03460693359375
990100000.0,-131.4452667236328
990125000.0,-131.6535186767578
990150000.0,-131.36138916015625
990175000.0,-131.4693603515625
990200000.0,-131.91201782226562
990225000.0,-131.19142150878906
990250000.0,-132.4690399169922
990275000.0,-130.95413208007812
990300000.0,-131.1288604736328
990325000.0,-131.7765655517578
990350000.0,-131.4939422607422
990375000.0,-130.91787719726562
990400000.0,-130.83935546875
990425000.0,-131.48385620117188
990450000.0,-130.75128173828125
990475000.0,-130.97923278808594
990500000.0,-132.0130157470703
990525000.0,-130.8181610107422
990550000.0,-132.2172088623047
990575000.0,-131.1569366455078
990600000.0,-131.325927734375
990625000.0,-131.171142578125
990650000.0,-131.1223907470703
990675000.0,-131.6403350830078
990700000.0,-130.8951416015625
990725000.0,-131.6696319580078
990750000.0,-130.09278869628906
990775000.0,-130.84088134765625
990800000.0,-131.3485870361328
990825000.0,-131.94427490234375
990850000.0,-131.12551879882812
990875000.0,-131.42959594726562
990900000.0,-131.08338928222656
990925000.0,-132.093505859375
990950000.0,-131.19863891601562
990975000.0,-131.40269470214844
