meas_frequency_Hz,meas_power_dBm
987500000.0,-131.3082733154297
987525000.0,-131.1775665283203
987550000.0,-132.25555419921875
987575000.0,-131.51849365234375
987600000.0,-130.67684936523438
987625000.0,-132.07432556152344
987650000.0,-131.55520629882812
987675000.0,-131.9107666015625
987700000.0,-132.57546997070312
987725000.0,-130.0373992919922
987750000.0,-131.6131591796875
987775000.0,-132.0830841064453
987800000.0,-130.71356201171875
987825000.0,-131.89703369140625
987850000.0,-131.3144989013672
987875000.0,-132.2600860595703
987900000.0,-131.69541931152344
987925000.0,-130.335693359375
987950000.0,-131.19752502441406
987975000.0,-131.61460876464844
988000000.0,-131.9087371826172
988025000.0,-130.9983367919922
988050000.0,-130.53335571289062
988075000.0,-132.0597381591797
988100000.0,-131.3201141357422
988125000.0,-131.1874542236328
988150000.0,-130.95413208007812
988175000.0,-131.6729278564453
988200000.0,-131.0097198486328
988225000.0,-131.1381072998047
988250000.0,-131.94668579101562
988275000.0,-131.16139221191406
988300000.0,-130.5245361328125
988325000.0,-132.18569946289062
988350000.0,-131.4210205078125
988375000.0,-131.5772705078125
988400000.0,-131.37660217285156
988425000.0,-130.98692321777344
988450000.0,-131.45843505859375
988475000.0,-131.395751953125
988500000.0,-130.49038696289062
988525000.0,-131.98446655273438
988550000.0,-132.1021270751953
988575000.0,-130.6782684326172
988600000.0,-131.86866760253906
988625000.0,-130.7639617919922
988650000.0,-132.02146911621094
988675000.0,-130.53817749023438
988700000.0,-131.1005401611328
988725000.0,-130.65380859375
988750000.0,-131.0419921875
988775000.0,-129.6304931640625
988800000.0,-130.78245544433594
988825000.0,-131.7736053466797
988850000.0,-131.26170349121094
988875000.0,-131.10977172851562
988900000.0,-130.85789489746094
988925000.0,-132.5560302734375
988950000.0,-131.26004028320312
988975000.0,-131.7207489013672
989000000.0,-131.21917724609375
989025000.0,-131.75784301757812
989050000.0,-130.91094970703125
989075000.0,-130.8746337890625
989100000.0,-131.86276245117188
989125000.0,-131.8326416015625
989150000.0,-131.40310668945312
989175000.0,-131.82122802734375
989200000.0,-132.0748291015625
989225000.0,-131.47181701660156
989250000.0,-130.35791015625
989275000.0,-132.7151641845703
989300000.0,-131.93211364746094
989325000.0,-132.20826721191406
989350000.0,-131.22694396972656
989375000.0,-132.14031982421875
989400000.0,-131.90032958984375
989425000.0,-131.45008850097656
989450000.0,-130.0748748779297
989475000.0,-131.31455993652344
989500000.0,-131.4558868408203
989525000.0,-131.73385620117188
989550000.0,-131.42269897460938
989575000.0,-131.26132202148438
989600000.0,-130.95689392089844
989625000.0,-131.74134826660156
989650000.0,-131.72125244140625
