meas_frequency_Hz,meas_power_dBm
987500000.0,-131.74827575683594
987525000.0,-131.6756134033203
987550000.0,-131.2567901611328
987575000.0,-132.25729370117188
987600000.0,-131.65895080566406
987625000.0,-130.33746337890625
987650000.0,-131.57345581054688
987675000.0,-131.55043029785156
987700000.0,-131.51513671875
987725000.0,-130.71694946289062
987750000.0,-131.15286254882812
987775000.0,-131.67689514160156
987800000.0,-132.4259796142578
987825000.0,-131.52679443359375
987850000.0,-132.2201385498047
987875000.0,-131.17929077148438
987900000.0,-131.8119354248047
987925000.0,-131.09555053710938
987950000.0,-129.60499572753906
987975000.0,-132.04234313964844
988000000.0,-131.74917602539062
988025000.0,-130.65548706054688
988050000.0,-130.22462463378906
988075000.0,-132.34083557128906
988100000.0,-131.25332641601562
988125000.0,-131.5638885498047
988150000.0,-131.73138427734375
988175000.0,-131.51629638671875
988200000.0,-130.90042114257812
988225000.0,-131.76516723632812
988250000.0,-130.95068359375
988275000.0,-131.87921142578125
988300000.0,-131.1566925048828
988325000.0,-131.31878662109375
988350000.0,-131.13824462890625
988375000.0,-132.27743530273438
988400000.0,-131.68734741210938
988425000.0,-131.75157165527344
988450000.0,-131.64044189453125
988475000.0,-130.41500854492188
988500000.0,-131.68841552734375
988525000.0,-131.48353576660156
988550000.0,-130.62960815429688
988575000.0,-131.58583068847656
988600000.0,-131.67666625976562
988625000.0,-131.6168670654297
988650000.0,-131.73153686523438
988675000.0,-132.3208770751953
988700000.0,-130.83775329589844
988725000.0,-131.58285522460938
988750000.0,-130.48416137695312
988775000.0,-130.87733459472656
988800000.0,-131.32640075683594
988825000.0,-131.83001708984375
988850000.0,-132.12376403808594
988875000.0,-131.11952209472656
988900000.0,-131.504638671875
988925000.0,-131.9112091064453
988950000.0,-130.80792236328125
988975000.0,-131.03988647460938
989000000.0,-130.62857055664062
989025000.0,-131.31729125976562
989050000.0,-132.0305938720703
989075000.0,-131.07969665527344
989100000.0,-131.6785125732422
989125000.0,-130.3360595703125
989150000.0,-131.6859893798828
989175000.0,-132.15773010253906
989200000.0,-131.43441772460938
989225000.0,-131.8794403076172
989250000.0,-131.56736755371094
989275000.0,-131.7277374267578
989300000.0,-131.0790252685547
989325000.0,-131.0684814453125
989350000.0,-131.41729736328125
989375000.0,-131.91712951660156
989400000.0,-130.92982482910156
989425000.0,-129.8115234375
989450000.0,-131.35174560546875
989475000.0,-130.5658416748047
989500000.0,-131.81846618652344
989525000.0,-132.3729705810547
989550000.0,-131.20852661132812
989575000.0,-131.27281188964844
989600000.0,-130.96826171875
989625000.0,-130.7631072998047
989650000.0,-130.87181091308594
989675000.0,-131.95277404785156
989700000.0,-131.08139038085938
989725000.0,-131.15162658691406
989750000.0,-132.04827880859375
989775000.0,-131.15847778320312
989800000.0,-131.47276306152344
989825000.0,-131.77830505371094
989850000.0,-131.86972045898438
989875000.0,-130.9558868408203
989900000.0,-130.24949645996094
989925000.0,-130.3927001953125
989950000.0,-131.01515197753906
989975000.0,-130.53688049316406
990000000.0,-131.61012268066406
990025000.0,-130.35888671875
990050000.0,-130.7803955078125
990075000.0,-130.31224060058594
990100000.0,-130.39700317382812
990125000.0,-131.3954315185547
990150000.0,-131.68861389160156
990175000.0,-132.18382263183594
990200000.0,-131.2686767578125
990225000.0,-131.46176147460938
990250000.0,-131.98031616210938
990275000.0,-130.81578063964844
990300000.0,-131.37820434570312
990325000.0,-131.3015899658203
990350000.0,-131.57135009765625
990375000.0,-131.4922332763672
990400000.0,-131.55010986328125
990425000.0,-131.13302612304688
990450000.0,-131.65115356445312
990475000.0,-131.462158203125
990500000.0,-131.60011291503906
990525000.0,-130.56549072265625
990550000.0,-131.22549438476562
990575000.0,-131.357421875
990600000.0,-131.6452178955078
990625000.0,-130.6249542236328
990650000.0,-130.71575927734375
990675000.0,-130.71337890625
990700000.0,-131.9213409423828
990725000.0,-132.533935546875
990750000.0,-131.649169921875
990775000.0,-131.67547607421875
990800000.0,-131.46694946289062
990825000.0,-131.24139404296875
990850000.0,-131.17486572265625
990875000.0,-131.74822998046875
990900000.0,-131.3030548095703
990925000.0,-132.15907287597656
990950000.0,-131.93287658691406
990975000.0,-131.2606964111328
991000000.0,-130.72056579589844
991025000.0,-129.40635681152344
991050000.0,-130.75674438476562
991075000.0,-132.1425018310547
991100000.0,-131.7089080810547
991125000.0,-132.18670654296875
991150000.0,-130.7421875
991175000.0,-130.86553955078125
991200000.0,-131.10189819335938
991225000.0,-131.7672576904297
991250000.0,-132.03390502929688
991275000.0,-132.01112365722656
991300000.0,-131.16824340820312
991325000.0,-131.5281524658203
991350000.0,-130.80755615234375
991375000.0,-131.5485076904297
991400000.0,-131.50192260742188
991425000.0,-130.29608154296875
991450000.0,-131.85617065429688
991475000.0,-131.73509216308594
991500000.0,-131.48513793945312
991525000.0,-130.88424682617188
991550000.0,-131.6769256591797
991575000.0,-131.73529052734375
991600000.0,-130.45765686035156
991625000.0,-131.70179748535156
991650000.0,-131.09158325195312
991675000.0,-130.19850158691406
991700000.0,-132.12582397460938
991725000.0,-131.82582092285156
991750000.0,-131.71388244628906
991775000.0,-131.76568603515625
991800000.0,-130.90164184570312
991825000.0,-131.92379760742188
991850000.0,-131.68966674804688
991875000.0,-130.54371643066406
991900000.0,-131.94754028320312
991925000.0,-130.45286560058594
991950000.0,-131.87863159179688
991975000.0,-129.9296112060547
992000000.0,-131.22122192382812
992025000.0,-131.81951904296875
992050000.0,-130.89573669433594
992075000.0,-131.48548889160156
992100000.0,-132.5533447265625
992125000.0,-130.6133575439453
992150000.0,-131.1450653076172
992175000.0,-130.1079559326172
992200000.0,-131.41122436523438
992225000.0,-131.62425231933594
992250000.0,-130.88780212402344
992275000.0,-131.53456115722656
992300000.0,-132.05081176757812
992325000.0,-130.96893310546875
992350000.0,-131.0211181640625
992375000.0,-129.94837951660156
992400000.0,-131.49244689941406
992425000.0,-131.3355712890625
992450000.0,-131.37733459472656
992475000.0,-132.1247100830078
992500000.0,-131.96597290039062
992525000.0,-131.1822052001953
992550000.0,-130.9095458984375
992575000.0,-131.327392578125
992600000.0,-131.2561798095703
992625000.0,-131.1671142578125
992650000.0,-131.18075561523438
992675000.0,-129.8873291015625
992700000.0,-131.06448364257812
992725000.0,-130.28799438476562
992750000.0,-131.56480407714844
992775000.0,-131.29383850097656
992800000.0,-131.20867919921875
992825000.0,-130.8527069091797
992850000.0,-131.2095947265625
992875000.0,-132.39649963378906
992900000.0,-131.11814880371094
992925000.0,-130.15086364746094
992950000.0,-130.74156188964844
992975000.0,-131.56298828125
993000000.0,-131.08804321289062
993025000.0,-131.38076782226562
993050000.0,-131.05870056152344
993075000.0,-130.2017822265625
993100000.0,-131.1593475341797
993125000.0,-131.37437438964844
993150000.0,-131.5519256591797
993175000.0,-131.46861267089844
993200000.0,-130.89112854003906
993225000.0,-131.28536987304688
993250000.0,-131.63763427734375
993275000.0,-131.39939880371094
993300000.0,-131.88916015625
993325000.0,-131.10487365722656
993350000.0,-131.51158142089844
993375000.0,-131.21340942382812
993400000.0,-131.1522979736328
993425000.0,-131.9246368408203
993450000.0,-131.8422393798828
993475000.0,-131.71827697753906
993500000.0,-131.99560546875
993525000.0,-130.77638244628906
993550000.0,-132.07101440429688
993575000.0,-131.91162109375
993600000.0,-131.8158416748047
993625000.0,-131.16921997070312
993650000.0,-131.72515869140625
993675000.0,-130.09201049804688
993700000.0,-130.53916931152344
993725000.0,-131.561767578125
993750000.0,-131.22373962402344
993775000.0,-131.37742614746094
993800000.0,-130.98878479003906
993825000.0,-130.96763610839844
993850000.0,-129.9879608154297
993875000.0,-132.57086181640625
993900000.0,-130.48828125
993925000.0,-131.61280822753906
993950000.0,-131.95608520507812
993975000.0,-130.39901733398438
994000000.0,-132.10438537597656
994025000.0,-131.39593505859375
994050000.0,-131.49822998046875
994075000.0,-130.87164306640625
994100000.0,-131.0185546875
994125000.0,-132.17955017089844
994150000.0,-131.14976501464844
994175000.0,-131.1647491455078
994200000.0,-131.47274780273438
994225000.0,-131.09645080566406
994250000.0,-131.818359375
994275000.0,-131.2969970703125
994300000.0,-131.84034729003906
994325000.0,-131.14378356933594
994350000.0,-130.75753784179688
994375000.0,-131.45233154296875
994400000.0,-131.58877563476562
994425000.0,-131.95529174804688
994450000.0,-131.5001678466797
994475000.0,-130.40423583984375
994500000.0,-131.9414825439453
994525000.0,-132.05186462402344
994550000.0,-131.98585510253906
994575000.0,-130.2740936279297
994600000.0,-131.56573486328125
994625000.0,-131.36009216308594
