meas_frequency_Hz,meas_power_dBm
987500000.0,-131.2630157470703
987525000.0,-130.66954040527344
987550000.0,-130.5016326904297
987575000.0,-129.41261291503906
987600000.0,-130.3394317626953
987625000.0,-130.88084411621094
987650000.0,-130.0492401123047
987675000.0,-130.2410430908203
987700000.0,-130.32223510742188
987725000.0,-129.7288360595703
987750000.0,-130.63087463378906
987775000.0,-129.97592163085938
987800000.0,-130.61318969726562
987825000.0,-130.7861785888672
987850000.0,-130.7718505859375
987875000.0,-129.6630096435547
987900000.0,-129.9989471435547
987925000.0,-129.15255737304688
987950000.0,-130.9790496826172
987975000.0,-130.53395080566406
988000000.0,-130.66741943359375
988025000.0,-130.53941345214844
988050000.0,-129.59751892089844
988075000.0,-130.23544311523438
988100000.0,-130.57009887695312
988125000.0,-129.59852600097656
988150000.0,-130.3706512451172
988175000.0,-130.13612365722656
988200000.0,-130.44989013671875
988225000.0,-130.19476318359375
988250000.0,-131.0541534423828
988275000.0,-129.7450408935547
988300000.0,-130.0232391357422
988325000.0,-129.61119079589844
988350000.0,-130.209716796875
988375000.0,-130.55226135253906
988400000.0,-130.31761169433594
988425000.0,-130.5486297607422
988450000.0,-131.0847930908203
988475000.0,-129.62847900390625
988500000.0,-130.8897247314453
988525000.0,-130.2328338623047
988550000.0,-131.2120819091797
988575000.0,-130.80421447753906
988600000.0,-130.46998596191406
988625000.0,-129.97731018066406
988650000.0,-129.8585968017578
988675000.0,-129.97874450683594
988700000.0,-130.47386169433594
988725000.0,-130.47235107421875
988750000.0,-130.74888610839844
988775000.0,-129.63987731933594
988800000.0,-130.08047485351562
988825000.0,-128.8782501220703
988850000.0,-129.74517822265625
988875000.0,-130.29122924804688
988900000.0,-130.5399627685547
988925000.0,-131.1219482421875
988950000.0,-129.9719696044922
988975000.0,-129.93511962890625
989000000.0,-130.91627502441406
989025000.0,-130.80628967285156
989050000.0,-130.14117431640625
989075000.0,-130.38156127929688
989100000.0,-129.48326110839844
989125000.0,-130.8484344482422
989150000.0,-130.12155151367188
989175000.0,-130.470458984375
989200000.0,-130.83560180664062
989225000.0,-129.6086883544922
989250000.0,-130.17575073242188
989275000.0,-130.65234375
989300000.0,-130.24244689941406
989325000.0,-129.02847290039062
989350000.0,-130.33749389648438
989375000.0,-130.03836059570312
989400000.0,-130.75535583496094
989425000.0,-130.498046875
989450000.0,-130.9640655517578
989475000.0,-130.66159057617188
989500000.0,-130.193115234375
989525000.0,-130.15965270996094
989550000.0,-130.60191345214844
989575000.0,-130.6104736328125
989600000.0,-131.23651123046875
989625000.0,-129.71441650390625
989650000.0,-130.94223022460938
989675000.0,-129.82440185546875
989700000.0,-130.73858642578125
989725000.0,-130.46629333496094
989750000.0,-130.5419921875
989775000.0,-130.0957489013672
989800000.0,-130.05194091796875
989825000.0,-128.51788330078125
989850000.0,-130.84292602539062
989875000.0,-129.64292907714844
989900000.0,-129.64553833007812
989925000.0,-129.9095458984375
989950000.0,-130.7520294189453
989975000.0,-130.44029235839844
990000000.0,-124.58674621582031
990025000.0,-131.00721740722656
990050000.0,-130.04417419433594
990075000.0,-130.3028106689453
990100000.0,-129.3838653564453
990125000.0,-130.914306640625
990150000.0,-129.2360382080078
990175000.0,-129.53512573242188
990200000.0,-130.79544067382812
990225000.0,-130.1644287109375
990250000.0,-129.9758758544922
990275000.0,-129.4541015625
990300000.0,-130.15426635742188
990325000.0,-129.70538330078125
990350000.0,-130.2505340576172
990375000.0,-130.8826904296875
990400000.0,-130.37527465820312
990425000.0,-130.13441467285156
990450000.0,-130.81341552734375
990475000.0,-130.26368713378906
990500000.0,-130.51036071777344
990525000.0,-129.48953247070312
990550000.0,-128.62001037597656
990575000.0,-130.7622833251953
990600000.0,-130.7598876953125
990625000.0,-130.0872802734375
990650000.0,-131.4296875
990675000.0,-129.20884704589844
990700000.0,-130.7398681640625
990725000.0,-130.25010681152344
990750000.0,-129.88833618164062
990775000.0,-130.77011108398438
990800000.0,-129.28758239746094
990825000.0,-129.55526733398438
990850000.0,-130.2703399658203
990875000.0,-130.23548889160156
990900000.0,-129.78466796875
990925000.0,-130.32479858398438
990950000.0,-130.53421020507812
990975000.0,-129.5009307861328
991000000.0,-130.76846313476562
991025000.0,-130.73147583007812
991050000.0,-129.28395080566406
991075000.0,-130.22605895996094
991100000.0,-130.44512939453125
991125000.0,-130.8048858642578
991150000.0,-130.2206268310547
991175000.0,-130.8211669921875
991200000.0,-131.1537322998047
991225000.0,-129.83013916015625
991250000.0,-130.36859130859375
991275000.0,-130.07469177246094
991300000.0,-131.10777282714844
991325000.0,-130.178466796875
991350000.0,-131.0013427734375
991375000.0,-130.73887634277344
991400000.0,-130.28146362304688
991425000.0,-130.28665161132812
991450000.0,-129.97604370117188
991475000.0,-131.6345977783203
991500000.0,-130.41819763183594
991525000.0,-130.13473510742188
991550000.0,-129.8824005126953
991575000.0,-130.43643188476562
991600000.0,-129.5873565673828
991625000.0,-130.3025360107422
991650000.0,-130.4116668701172
991675000.0,-130.49774169921875
991700000.0,-130.31564331054688
991725000.0,-129.92066955566406
991750000.0,-130.76638793945312
991775000.0,-130.48521423339844
991800000.0,-130.06297302246094
991825000.0,-130.59327697753906
991850000.0,-129.6006622314453
991875000.0,-129.70338439941406
991900000.0,-130.2055206298828
991925000.0,-127.71469116210938
991950000.0,-130.54249572753906
991975000.0,-130.1625213623047
992000000.0,-130.7405242919922
992025000.0,-130.0078887939453
992050000.0,-130.9375457763672
992075000.0,-131.07107543945312
992100000.0,-130.3455810546875
992125000.0,-130.25827026367188
992150000.0,-131.26597595214844
992175000.0,-130.02928161621094
992200000.0,-129.59153747558594
992225000.0,-129.57293701171875
992250000.0,-130.8327178955078
992275000.0,-130.47311401367188
992300000.0,-130.55918884277344
992325000.0,-130.3845672607422
992350000.0,-129.76454162597656
992375000.0,-130.61131286621094
992400000.0,-130.17982482910156
992425000.0,-128.90733337402344
992450000.0,-130.47731018066406
992475000.0,-130.30499267578125
992500000.0,-129.13262939453125
992525000.0,-129.87193298339844
992550000.0,-130.44760131835938
992575000.0,-130.4788818359375
992600000.0,-130.86766052246094
992625000.0,-129.80252075195312
992650000.0,-131.24620056152344
992675000.0,-130.06564331054688
992700000.0,-131.16830444335938
992725000.0,-130.63771057128906
992750000.0,-129.91696166992188
992775000.0,-130.18344116210938
992800000.0,-130.53359985351562
992825000.0,-130.82693481445312
992850000.0,-130.9999237060547
992875000.0,-130.00949096679688
992900000.0,-129.93801879882812
992925000.0,-131.1139678955078
992950000.0,-129.25865173339844
992975000.0,-130.36688232421875
993000000.0,-130.31103515625
993025000.0,-130.3753662109375
993050000.0,-129.1624755859375
993075000.0,-129.7454376220703
993100000.0,-130.78927612304688
993125000.0,-130.72967529296875
993150000.0,-129.91822814941406
993175000.0,-130.28787231445312
993200000.0,-129.2698516845703
993225000.0,-129.86239624023438
993250000.0,-131.30307006835938
993275000.0,-129.99261474609375
993300000.0,-130.1602325439453
993325000.0,-130.5498809814453
993350000.0,-130.64752197265625
993375000.0,-130.33242797851562
993400000.0,-130.33883666992188
993425000.0,-129.75672912597656
993450000.0,-130.4158935546875
993475000.0,-130.73255920410156
993500000.0,-130.55555725097656
993525000.0,-130.24656677246094
993550000.0,-130.205322265625
993575000.0,-130.50306701660156
993600000.0,-129.9447784423828
993625000.0,-129.96160888671875
993650000.0,-130.3568572998047
993675000.0,-130.82675170898438
