meas_frequency_Hz,meas_power_dBm
987500000.0,-129.89645385742188
987525000.0,-131.5948028564453
987550000.0,-131.3273468017578
987575000.0,-131.8721923828125
987600000.0,-130.70008850097656
987625000.0,-130.83413696289062
987650000.0,-131.65878295898438
987675000.0,-130.64651489257812
987700000.0,-131.25656127929688
987725000.0,-131.1932830810547
987750000.0,-131.21861267089844
987775000.0,-131.2692413330078
987800000.0,-131.18882751464844
987825000.0,-131.20907592773438
987850000.0,-131.5441131591797
987875000.0,-130.87196350097656
987900000.0,-131.42144775390625
987925000.0,-130.83099365234375
987950000.0,-131.5089111328125
987975000.0,-130.86830139160156
988000000.0,-131.15008544921875
988025000.0,-131.6842041015625
988050000.0,-129.99742126464844
988075000.0,-130.5933380126953
988100000.0,-130.48585510253906
988125000.0,-130.62420654296875
988150000.0,-132.14944458007812
988175000.0,-131.93565368652344
988200000.0,-131.15762329101562
988225000.0,-130.19091796875
988250000.0,-131.6764678955078
988275000.0,-131.3314208984375
988300000.0,-129.86509704589844
988325000.0,-131.22373962402344
988350000.0,-130.9939727783203
988375000.0,-131.2731170654297
988400000.0,-130.8704833984375
988425000.0,-130.2532958984375
988450000.0,-131.1854248046875
988475000.0,-129.76123046875
988500000.0,-130.2693328857422
988525000.0,-132.13572692871094
988550000.0,-131.3853759765625
988575000.0,-131.2533416748047
988600000.0,-131.59075927734375
988625000.0,-131.37857055664062
988650000.0,-130.1719512939453
988675000.0,-131.33001708984375
988700000.0,-131.25808715820312
988725000.0,-131.25082397460938
988750000.0,-131.4184112548828
988775000.0,-131.35043334960938
988800000.0,-130.6636962890625
988825000.0,-131.75006103515625
988850000.0,-131.5586700439453
988875000.0,-130.44970703125
988900000.0,-131.42755126953125
988925000.0,-131.400634765625
988950000.0,-130.0940399169922
988975000.0,-130.89686584472656
989000000.0,-131.39459228515625
989025000.0,-131.6039276123047
989050000.0,-130.81320190429688
989075000.0,-131.11695861816406
989100000.0,-130.43734741210938
989125000.0,-132.20333862304688
989150000.0,-131.4356231689453
989175000.0,-131.36529541015625
989200000.0,-129.90525817871094
989225000.0,-131.14028930664062
989250000.0,-130.65879821777344
989275000.0,-131.33302307128906
989300000.0,-131.19186401367188
989325000.0,-129.56517028808594
989350000.0,-129.8482208251953
989375000.0,-131.8397979736328
989400000.0,-131.19168090820312
989425000.0,-131.14166259765625
989450000.0,-132.24537658691406
989475000.0,-130.85720825195312
989500000.0,-132.07017517089844
989525000.0,-131.10035705566406
989550000.0,-131.4413299560547
989575000.0,-131.1590118408203
989600000.0,-130.3563232421875
989625000.0,-131.02078247070312
989650000.0,-130.0695343017578
989675000.0,-132.05484008789062
989700000.0,-130.8002166748047
989725000.0,-131.9701690673828
989750000.0,-131.02552795410156
989775000.0,-130.88758850097656
989800000.0,-131.7717742919922
989825000.0,-131.22573852539062
989850000.0,-130.61563110351562
989875000.0,-131.11997985839844
989900000.0,-131.53651428222656
989925000.0,-129.544189453125
989950000.0,-131.1613311767578
989975000.0,-131.09800720214844
990000000.0,-131.40359497070312
990025000.0,-132.01148986816406
990050000.0,-131.41070556640625
990075000.0,-131.29388427734375
990100000.0,-130.93234252929688
990125000.0,-131.69723510742188
