meas_frequency_Hz,meas_power_dBm
987500000.0,-130.7360076904297
987525000.0,-131.47210693359375
987550000.0,-130.69056701660156
987575000.0,-130.73146057128906
987600000.0,-130.47824096679688
987625000.0,-131.2161865234375
987650000.0,-131.9687957763672
987675000.0,-131.3475341796875
987700000.0,-130.85475158691406
987725000.0,-131.30287170410156
987750000.0,-130.80758666992188
987775000.0,-131.5855255126953
987800000.0,-131.2278289794922
987825000.0,-130.6719207763672
987850000.0,-129.98416137695312
987875000.0,-130.96104431152344
987900000.0,-131.6817169189453
987925000.0,-131.53538513183594
987950000.0,-131.09857177734375
987975000.0,-130.68394470214844
988000000.0,-129.90567016601562
988025000.0,-130.9680938720703
988050000.0,-131.6611785888672
988075000.0,-130.9945831298828
988100000.0,-131.2362823486328
988125000.0,-130.5797576904297
988150000.0,-130.57534790039062
988175000.0,-130.7138671875
988200000.0,-131.6730194091797
988225000.0,-130.40362548828125
988250000.0,-131.48268127441406
988275000.0,-131.83326721191406
988300000.0,-130.03907775878906
988325000.0,-131.4333953857422
988350000.0,-130.85906982421875
988375000.0,-130.8607940673828
988400000.0,-131.1153106689453
988425000.0,-131.20066833496094
988450000.0,-131.34336853027344
988475000.0,-130.89633178710938
988500000.0,-130.56478881835938
988525000.0,-131.01654052734375
988550000.0,-130.75137329101562
988575000.0,-131.5257110595703
988600000.0,-131.89385986328125
988625000.0,-131.5421142578125
988650000.0,-131.65066528320312
988675000.0,-130.60220336914062
988700000.0,-130.83834838867188
988725000.0,-129.90478515625
988750000.0,-130.99278259277344
988775000.0,-130.19900512695312
988800000.0,-131.1163787841797
988825000.0,-130.14065551757812
988850000.0,-131.1885986328125
988875000.0,-130.43942260742188
988900000.0,-131.3653564453125
988925000.0,-130.89404296875
988950000.0,-130.4563446044922
988975000.0,-130.89825439453125
989000000.0,-130.37619018554688
989025000.0,-130.47340393066406
989050000.0,-131.60894775390625
989075000.0,-130.35292053222656
989100000.0,-129.94456481933594
989125000.0,-132.1855926513672
989150000.0,-131.58694458007812
989175000.0,-130.95693969726562
989200000.0,-131.04103088378906
989225000.0,-131.06393432617188
989250000.0,-130.8385772705078
989275000.0,-130.89108276367188
989300000.0,-132.072998046875
989325000.0,-131.1975555419922
989350000.0,-130.9115753173828
989375000.0,-130.70948791503906
989400000.0,-130.02548217773438
989425000.0,-128.8665313720703
989450000.0,-130.37156677246094
989475000.0,-130.83642578125
989500000.0,-131.03941345214844
989525000.0,-131.1488494873047
989550000.0,-131.17919921875
989575000.0,-131.0891876220703
989600000.0,-130.37579345703125
989625000.0,-130.5403594970703
989650000.0,-130.50616455078125
989675000.0,-130.60586547851562
989700000.0,-131.73214721679688
989725000.0,-131.5048828125
989750000.0,-131.49093627929688
989775000.0,-132.08053588867188
989800000.0,-131.75588989257812
989825000.0,-131.2875213623047
989850000.0,-130.63449096679688
989875000.0,-131.42442321777344
989900000.0,-131.96945190429688
989925000.0,-131.30006408691406
989950000.0,-130.81478881835938
989975000.0,-130.72879028320312
990000000.0,-131.39862060546875
990025000.0,-131.31597900390625
