meas_frequency_Hz,meas_power_dBm
987500000.0,-130.8431396484375
987525000.0,-131.6537322998047
987550000.0,-131.97781372070312
987575000.0,-130.0177001953125
987600000.0,-130.95021057128906
987625000.0,-130.7977294921875
987650000.0,-131.3647918701172
987675000.0,-131.0261688232422
987700000.0,-130.49143981933594
987725000.0,-131.4392547607422
987750000.0,-131.2501220703125
987775000.0,-130.30633544921875
987800000.0,-130.97447204589844
987825000.0,-130.77574157714844
987850000.0,-131.0344696044922
987875000.0,-131.4392852783203
987900000.0,-131.5045623779297
987925000.0,-131.7432403564453
987950000.0,-130.77101135253906
987975000.0,-131.0153045654297
988000000.0,-131.53416442871094
988025000.0,-131.55311584472656
988050000.0,-131.07391357421875
988075000.0,-130.6405487060547
988100000.0,-132.2115478515625
988125000.0,-129.8182830810547
988150000.0,-131.06314086914062
988175000.0,-131.22657775878906
988200000.0,-130.5442657470703
988225000.0,-130.60353088378906
988250000.0,-130.6316680908203
988275000.0,-130.61109924316406
988300000.0,-131.2337188720703
988325000.0,-130.6239776611328
988350000.0,-131.28802490234375
988375000.0,-131.13232421875
988400000.0,-131.0864715576172
988425000.0,-131.229248046875
988450000.0,-130.5806427001953
988475000.0,-130.08497619628906
988500000.0,-131.4305877685547
988525000.0,-131.2705841064453
988550000.0,-131.40133666992188
988575000.0,-131.42471313476562
988600000.0,-131.07835388183594
988625000.0,-130.731201171875
988650000.0,-131.73080444335938
988675000.0,-130.1595916748047
988700000.0,-132.03921508789062
988725000.0,-131.15322875976562
988750000.0,-130.07009887695312
988775000.0,-131.2158203125
988800000.0,-131.00880432128906
988825000.0,-131.51007080078125
988850000.0,-130.82757568359375
988875000.0,-131.6376190185547
988900000.0,-130.51113891601562
988925000.0,-131.18763732910156
988950000.0,-130.56219482421875
988975000.0,-131.32119750976562
989000000.0,-131.75506591796875
989025000.0,-130.79197692871094
989050000.0,-131.71083068847656
989075000.0,-130.6935272216797
989100000.0,-130.64468383789062
989125000.0,-130.74462890625
989150000.0,-131.26866149902344
989175000.0,-131.1757354736328
989200000.0,-130.42529296875
989225000.0,-131.38609313964844
989250000.0,-131.02635192871094
989275000.0,-130.44993591308594
989300000.0,-130.1614990234375
989325000.0,-129.4413299560547
989350000.0,-131.25474548339844
989375000.0,-130.91026306152344
989400000.0,-131.18922424316406
989425000.0,-130.29547119140625
989450000.0,-131.11241149902344
989475000.0,-130.6814727783203
989500000.0,-130.46287536621094
989525000.0,-129.99945068359375
989550000.0,-130.6984405517578
989575000.0,-131.80355834960938
989600000.0,-131.03448486328125
989625000.0,-131.46469116210938
989650000.0,-131.5478515625
989675000.0,-129.3768768310547
989700000.0,-131.3957061767578
989725000.0,-130.63284301757812
989750000.0,-130.68394470214844
989775000.0,-130.7384796142578
989800000.0,-131.11131286621094
989825000.0,-131.71197509765625
989850000.0,-130.125732421875
989875000.0,-131.7529754638672
989900000.0,-130.40457153320312
989925000.0,-130.26071166992188
989950000.0,-130.2498321533203
989975000.0,-131.12692260742188
990000000.0,-130.28871154785156
990025000.0,-130.67958068847656
990050000.0,-131.5228271484375
990075000.0,-130.859375
990100000.0,-131.69786071777344
990125000.0,-130.7144012451172
990150000.0,-130.06683349609375
990175000.0,-130.1901397705078
990200000.0,-131.31375122070312
990225000.0,-131.05429077148438
990250000.0,-130.18821716308594
990275000.0,-131.33348083496094
990300000.0,-129.83145141601562
990325000.0,-130.95211791992188
990350000.0,-131.77569580078125
990375000.0,-131.24655151367188
990400000.0,-130.39344787597656
990425000.0,-131.7045440673828
990450000.0,-130.93569946289062
990475000.0,-130.4823760986328
990500000.0,-130.2663116455078
990525000.0,-130.1398468017578
990550000.0,-131.21511840820312
990575000.0,-131.1123504638672
990600000.0,-131.05479431152344
990625000.0,-130.03257751464844
990650000.0,-131.11927795410156
990675000.0,-130.89544677734375
990700000.0,-131.491455078125
990725000.0,-130.932861328125
990750000.0,-131.50889587402344
990775000.0,-131.6937713623047
990800000.0,-131.7322998046875
990825000.0,-131.52378845214844
990850000.0,-130.5053253173828
990875000.0,-130.54005432128906
990900000.0,-131.45697021484375
990925000.0,-132.24758911132812
990950000.0,-130.09727478027344
990975000.0,-129.98545837402344
991000000.0,-131.7180938720703
991025000.0,-130.83157348632812
991050000.0,-131.6988983154297
991075000.0,-131.72280883789062
991100000.0,-131.6890106201172
991125000.0,-131.462890625
991150000.0,-130.46469116210938
991175000.0,-130.97779846191406
991200000.0,-131.334716796875
991225000.0,-130.53030395507812
991250000.0,-130.89125061035156
991275000.0,-131.5319366455078
991300000.0,-130.4144744873047
991325000.0,-130.83599853515625
991350000.0,-131.60903930664062
991375000.0,-131.57110595703125
991400000.0,-131.89755249023438
991425000.0,-131.32557678222656
991450000.0,-131.84803771972656
991475000.0,-131.5257110595703
991500000.0,-131.05059814453125
991525000.0,-131.64927673339844
991550000.0,-131.3795928955078
991575000.0,-131.56202697753906
991600000.0,-130.13011169433594
991625000.0,-131.19561767578125
991650000.0,-131.47186279296875
991675000.0,-131.15594482421875
991700000.0,-131.09014892578125
991725000.0,-131.59068298339844
991750000.0,-130.9970245361328
991775000.0,-131.44793701171875
991800000.0,-129.94264221191406
991825000.0,-131.28233337402344
991850000.0,-130.47401428222656
991875000.0,-131.3228302001953
991900000.0,-131.50013732910156
991925000.0,-130.1429443359375
991950000.0,-130.4275360107422
991975000.0,-131.4363250732422
992000000.0,-130.4888916015625
992025000.0,-131.97930908203125
992050000.0,-131.16868591308594
992075000.0,-130.6708221435547
992100000.0,-131.4742889404297
992125000.0,-131.2034149169922
992150000.0,-131.76473999023438
992175000.0,-130.40167236328125
992200000.0,-129.8484344482422
992225000.0,-131.7678985595703
992250000.0,-130.40716552734375
992275000.0,-130.95877075195312
992300000.0,-131.33688354492188
992325000.0,-131.21102905273438
992350000.0,-130.05198669433594
992375000.0,-131.0557861328125
992400000.0,-130.31419372558594
992425000.0,-130.34976196289062
992450000.0,-131.27581787109375
992475000.0,-131.27528381347656
992500000.0,-130.93458557128906
992525000.0,-130.25408935546875
992550000.0,-131.2439727783203
992575000.0,-130.54409790039062
992600000.0,-131.09805297851562
992625000.0,-131.75448608398438
992650000.0,-130.0930633544922
992675000.0,-130.8284454345703
992700000.0,-131.38206481933594
992725000.0,-130.78982543945312
992750000.0,-131.05679321289062
992775000.0,-130.66915893554688
992800000.0,-130.8256378173828
992825000.0,-130.5319061279297
992850000.0,-130.4680938720703
992875000.0,-131.6488800048828
992900000.0,-130.5449676513672
992925000.0,-131.39175415039062
992950000.0,-130.53677368164062
992975000.0,-131.39085388183594
993000000.0,-131.84339904785156
993025000.0,-130.86578369140625
993050000.0,-130.45651245117188
993075000.0,-130.57662963867188
993100000.0,-132.15478515625
993125000.0,-131.24859619140625
993150000.0,-130.4927520751953
993175000.0,-130.56039428710938
993200000.0,-131.5844268798828
993225000.0,-131.2794189453125
993250000.0,-130.8124237060547
993275000.0,-131.39276123046875
993300000.0,-130.58767700195312
993325000.0,-131.22439575195312
993350000.0,-130.45938110351562
993375000.0,-131.57052612304688
993400000.0,-131.36386108398438
993425000.0,-131.3709259033203
993450000.0,-130.75926208496094
993475000.0,-131.70399475097656
993500000.0,-130.980712890625
993525000.0,-130.93348693847656
993550000.0,-131.79562377929688
993575000.0,-130.24302673339844
993600000.0,-131.0347442626953
993625000.0,-130.1890106201172
993650000.0,-130.6733856201172
993675000.0,-131.0726318359375
993700000.0,-131.05828857421875
993725000.0,-131.21376037597656
993750000.0,-130.64926147460938
993775000.0,-130.39422607421875
993800000.0,-131.00645446777344
993825000.0,-131.234619140625
993850000.0,-130.66204833984375
