# Version 1.00
#
freq[Hz];re:Trc1_S11;im:Trc1_S11;re:Trc2_S22;im:Trc2_S22;re:Trc3_S21;im:Trc3_S21;
2.000000000000000E+09;8.989224992913823E-01;-1.356578196692343E-01;5.748988073898658E-01;6.235951678093643E-01;-5.775843324265641E-05;-1.166481290501767E-03;
2.001250000000000E+09;8.924803783940685E-01;-1.732171658665803E-01;6.093343568450120E-01;5.902334665481279E-01;-9.013200707599730E-05;-1.195583713994471E-03;
2.002500000000000E+09;8.843076165500082E-01;-2.105907256728042E-01;6.416995320368276E-01;5.548286020928100E-01;-1.761234317799916E-04;-1.142263633356960E-03;
2.003750000000000E+09;8.745489548638463E-01;-2.472682856396579E-01;6.720490752204419E-01;5.177429287011261E-01;-2.369736641039270E-04;-1.166261241843007E-03;
2.005000000000000E+09;8.634933573278302E-01;-2.836016031650400E-01;7.002734804302511E-01;4.788984827388659E-01;-2.984625115040118E-04;-1.129226361446448E-03;
2.006250000000000E+09;8.504849077826472E-01;-3.199238508246728E-01;7.262877143346739E-01;4.386028010478582E-01;-3.477213322351625E-04;-1.120863354927036E-03;
2.007500000000000E+09;8.361640597948741E-01;-3.552165588080204E-01;7.501217827700662E-01;3.966782266503364E-01;-4.130324682020503E-04;-1.118489859460651E-03;
2.008750000000000E+09;8.204003005324658E-01;-3.899462171283763E-01;7.713641898295189E-01;3.534953636167575E-01;-4.651215632743966E-04;-1.086518410359993E-03;
2.010000000000000E+09;8.031951290280470E-01;-4.243220012615308E-01;7.901718007723211E-01;3.090445108592378E-01;-5.231834759428577E-04;-1.079229228740848E-03;
2.011250000000000E+09;7.843025137069856E-01;-4.576649215765997E-01;8.064939969824652E-01;2.633983869908069E-01;-5.788451148688852E-04;-1.058690107113391E-03;
2.012500000000000E+09;7.642427797510857E-01;-4.902727137609497E-01;8.202898430516576E-01;2.170124731059636E-01;-6.152137028504905E-04;-1.017943591324514E-03;
