# Version 1.00
#
freq[Hz];re:Trc1_S11;im:Trc1_S11;re:Trc2_S22;im:Trc2_S22;re:Trc3_S21;im:Trc3_S21;
2.000000000000000E+09;6.231904697622379E-01;5.682232473665461E-01;5.287087513530880E-01;6.638229951777386E-01;-7.758811441778514E-04;2.249288920810498E-03;
2.001250000000000E+09;6.547809742634695E-01;5.314858319877250E-01;5.653697476948210E-01;6.330341977131948E-01;-6.356759856855851E-04;2.261625762479635E-03;
2.002500000000000E+09;6.840827820451639E-01;4.930501720430235E-01;6.000278212125819E-01;6.003521124369444E-01;-4.973627924469100E-04;2.307846835639319E-03;
2.003750000000000E+09;7.111471702731248E-01;4.531279142041126E-01;6.330235444897854E-01;5.657473804243008E-01;-3.675996250571001E-04;2.319224605448847E-03;
2.005000000000000E+09;7.359405193924252E-01;4.116638856243082E-01;6.635323168270397E-01;5.290627394724319E-01;-2.263893745812108E-04;2.302358799438598E-03;
2.006250000000000E+09;7.582730724874243E-01;3.687253907727107E-01;6.923287159051427E-01;4.907688839076598E-01;-8.908697466742454E-05;2.290200718516292E-03;
2.007500000000000E+09;7.782592744544462E-01;3.243935150007401E-01;7.188425740521608E-01;4.509314892212559E-01;5.738710625687689E-05;2.268027740779684E-03;
2.008750000000000E+09;7.955309471495838E-01;2.790838113476515E-01;7.432942440791162E-01;4.096123988907022E-01;1.715398203269559E-04;2.252378134921953E-03;
2.010000000000000E+09;8.102262918061937E-01;2.331997344181746E-01;7.651380520558551E-01;3.669480064321456E-01;2.940267745986728E-04;2.238968091629916E-03;
2.011250000000000E+09;8.222286975309631E-01;1.859487562758759E-01;7.845273156301003E-01;3.227693580801032E-01;4.381073189794743E-04;2.190254784077247E-03;
2.012500000000000E+09;8.313623711864589E-01;1.382240383322426E-01;8.017320716632785E-01;2.776684941815892E-01;5.503617791110310E-04;2.152830177537914E-03;
2.013750000000000E+09;8.379213266308043E-01;9.008511422539210E-02;8.159214548315731E-01;2.318440949996908E-01;6.327182826232471E-04;2.115987271589265E-03;
2.015000000000000E+09;8.416850009961776E-01;4.186602648448567E-02;8.277784872144863E-01;1.850504875322063E-01;7.446713651508417E-04;2.071869753863663E-03;
2.016250000000000E+09;8.425648132142176E-01;-7.013693598080504E-03;8.369154247001016E-01;1.375033807065833E-01;8.753618243357652E-04;2.017101490346221E-03;
2.017500000000000E+09;8.406156764127679E-01;-5.577694908010952E-02;8.431167219548211E-01;8.938834351648596E-02;9.918348608132050E-04;1.954808539456760E-03;
2.018750000000000E+09;8.358953484589805E-01;-1.042555455845613E-01;8.466291731542770E-01;4.103597121386800E-02;1.116719605150396E-03;1.871673919616845E-03;
2.020000000000000E+09;8.284026698485707E-01;-1.525167114036312E-01;8.476702790508542E-01;-7.397831776671144E-03;1.226353690796241E-03;1.777079019698037E-03;
2.021250000000000E+09;8.180560259135602E-01;-2.002520112184853E-01;8.457083565110676E-01;-5.593679826724137E-02;1.306707438780883E-03;1.695627940880703E-03;
2.022500000000000E+09;8.050932253602436E-01;-2.470589501449973E-01;8.409104075167950E-01;-1.043197091524173E-01;1.389982896508831E-03;1.609796359003602E-03;
2.023750000000000E+09;7.893952543394384E-01;-2.932827857619499E-01;8.335451026557279E-01;-1.523897954026913E-01;1.466541151030349E-03;1.497036331739954E-03;
2.025000000000000E+09;7.707695728779625E-01;-3.385765379736751E-01;8.232555511951476E-01;-1.997482818815686E-01;1.529516549467635E-03;1.443138362545606E-03;
2.026250000000000E+09;7.496901860395675E-01;-3.827844801378109E-01;8.103864714976440E-01;-2.470392486769698E-01;1.605596616710264E-03;1.295547354468451E-03;
2.027500000000000E+09;7.262145038460541E-01;-4.257448347997460E-01;7.946981204095684E-01;-2.929780789349034E-01;1.674250142055183E-03;1.176707194837927E-03;
2.028750000000000E+09;7.001080011849898E-01;-4.669611941513734E-01;7.760792498425096E-01;-3.383722204349158E-01;1.717356397252966E-03;1.080009112874685E-03;
2.030000000000000E+09;6.714699141709241E-01;-5.067091146137764E-01;7.551871447392167E-01;-3.823716168962896E-01;1.761830838031184E-03;9.611466235136340E-04;
2.031250000000000E+09;6.408049773534866E-01;-5.449189237734959E-01;7.317076652311491E-01;-4.256035541346664E-01;1.805363754569927E-03;8.775755311502318E-04;
2.032500000000000E+09;6.079236214334961E-01;-5.813754117756315E-01;7.056740987865793E-01;-4.670813948468639E-01;1.815593124739458E-03;7.741132683407981E-04;
2.033750000000000E+09;5.729231341486649E-01;-6.157634295449036E-01;6.773369385453427E-01;-5.068996927237663E-01;1.876240901329087E-03;6.569877121004840E-04;
2.035000000000000E+09;5.358143676424544E-01;-6.479790693391492E-01;6.463739185202106E-01;-5.454069519164769E-01;1.853217973522322E-03;5.270899413945258E-04;
2.036250000000000E+09;4.971685578539219E-01;-6.781935532466860E-01;6.134711786422179E-01;-5.817362302470809E-01;1.897006820044222E-03;4.054340660866550E-04;
2.037500000000000E+09;4.564060322801675E-01;-7.059319817672438E-01;5.784163645658075E-01;-6.164282551869291E-01;1.895149019722146E-03;3.143974251616402E-04;
2.038750000000000E+09;4.143238426624527E-01;-7.313890434107699E-01;5.414628652435065E-01;-6.488588217929634E-01;1.905381572305187E-03;1.695063856692660E-04;
2.040000000000000E+09;3.708027648817612E-01;-7.544749592641415E-01;5.025402354563556E-01;-6.792764148637631E-01;1.890925456927684E-03;6.648518426636536E-05;
2.041250000000000E+09;3.262106173077366E-01;-7.745739784632882E-01;4.622345436688902E-01;-7.072957677033018E-01;1.857964183736227E-03;-6.491029055231250E-05;
2.042500000000000E+09;2.805584222751146E-01;-7.920171260889421E-01;4.198674947361934E-01;-7.331214177777123E-01;1.788124097459522E-03;-1.776917263996226E-04;
2.043750000000000E+09;2.344008797339637E-01;-8.068545870699882E-01;3.763584101858312E-01;-7.559474119588871E-01;1.771727766858606E-03;-2.759852548618518E-04;
2.045000000000000E+09;1.868256741594363E-01;-8.191238196980469E-01;3.313757678266133E-01;-7.766013950598647E-01;1.722001493320225E-03;-3.482236785071285E-04;
2.046250000000000E+09;1.387130332745179E-01;-8.286079665135119E-01;2.853027785497071E-01;-7.945781306603423E-01;1.664779928198330E-03;-4.864528589024445E-04;
2.047500000000000E+09;9.035723505724733E-02;-8.353188479027156E-01;2.382544039813930E-01;-8.098028884074970E-01;1.625507126769568E-03;-5.343130658439114E-04;
2.048750000000000E+09;4.173298713103835E-02;-8.393151753440410E-01;1.904951466803630E-01;-8.221081990474416E-01;1.607045088726236E-03;-6.164973673243645E-04;
2.050000000000000E+09;-7.079431685350181E-03;-8.403724400055937E-01;1.418504831074636E-01;-8.317584285286844E-01;1.539626483652507E-03;-6.972298234229828E-04;
2.051250000000000E+09;-5.607722947530429E-02;-8.383404533107937E-01;9.300709720659164E-02;-8.383929769693651E-01;1.474989290378374E-03;-7.575507334896612E-04;
2.052500000000000E+09;-1.046942866497734E-01;-8.337416778040697E-01;4.366974514180500E-02;-8.424138721955823E-01;1.408956146428481E-03;-8.320411072537507E-04;
2.053750000000000E+09;-1.530144285409123E-01;-8.266161409004734E-01;-5.851055940994464E-03;-8.433721319123459E-01;1.357698251214972E-03;-9.056923164113013E-04;
2.055000000000000E+09;-2.005944384853101E-01;-8.164025084994454E-01;-5.532309395374323E-02;-8.415407332549459E-01;1.297154648896011E-03;-9.669650632785372E-04;
2.056250000000000E+09;-2.477387760791471E-01;-8.035312517344012E-01;-1.045087663971136E-01;-8.366577394345117E-01;1.256063390739509E-03;-1.079938564950723E-03;
