# Version 1.00
#
freq[Hz];re:Trc1_S11;im:Trc1_S11;re:Trc2_S22;im:Trc2_S22;re:Trc3_S21;im:Trc3_S21;
2.000000000000000E+09;6.317988653217733E-01;5.584469017080606E-01;5.647813276584949E-01;6.330666368763973E-01;2.109583305650735E-03;-2.929521977395864E-04;
2.001250000000000E+09;6.628305448997074E-01;5.211863134431071E-01;5.996575796605556E-01;6.003124371888552E-01;2.042937755710186E-03;-4.442322311343284E-04;
2.002500000000000E+09;6.916436988524560E-01;4.823600676806792E-01;6.327059335184678E-01;5.655050967207685E-01;2.038766093818388E-03;-5.859429432062168E-04;
2.003750000000000E+09;7.181976362073471E-01;4.418365793892452E-01;6.636099348684696E-01;5.288262669890860E-01;1.978015429225986E-03;-6.886944124918931E-04;
2.005000000000000E+09;7.423151637639530E-01;3.997345451615214E-01;6.923687847298026E-01;4.905131403014564E-01;1.955408508878772E-03;-8.520814726121236E-04;
2.006250000000000E+09;7.638796351744963E-01;3.565242068863829E-01;7.190272189092231E-01;4.505107846311658E-01;1.885924224500524E-03;-9.692857191343957E-04;
2.007500000000000E+09;7.833304536479578E-01;3.118835114050230E-01;7.434256021317874E-01;4.090342530456846E-01;1.831119175133803E-03;-1.067189680245457E-03;
2.008750000000000E+09;7.998115797840886E-01;2.661738162990857E-01;7.654724676333390E-01;3.661437201779413E-01;1.761397041679196E-03;-1.188688887118202E-03;
2.010000000000000E+09;8.136821405506514E-01;2.197423288687987E-01;7.850904079312370E-01;3.221062801489963E-01;1.709963473047148E-03;-1.295581414998952E-03;
2.011250000000000E+09;8.249778546209577E-01;1.722929659601750E-01;8.020491073598605E-01;2.769409051558590E-01;1.593460468650975E-03;-1.380709898556839E-03;
2.012500000000000E+09;8.335169651771693E-01;1.245591455922410E-01;8.163272118853617E-01;2.307602908538176E-01;1.543245042967930E-03;-1.490562595953072E-03;
2.013750000000000E+09;8.390476305315924E-01;7.621362304870190E-02;8.283250238971681E-01;1.838611982643255E-01;1.408302118618102E-03;-1.602659111179765E-03;
2.015000000000000E+09;8.418852452875616E-01;2.736435001698797E-02;8.373980541703109E-01;1.360998445488497E-01;1.298407776025867E-03;-1.700383655252503E-03;
2.016250000000000E+09;8.422008872686848E-01;-2.140191413226952E-02;8.437117784161968E-01;8.760361280739316E-02;1.201446495354727E-03;-1.787253315164355E-03;
2.017500000000000E+09;8.392885213496393E-01;-6.994653591097977E-02;8.472132170855485E-01;3.919370306688495E-02;1.063463174094314E-03;-1.852232704071182E-03;
2.018750000000000E+09;8.338078442532186E-01;-1.186585549325617E-01;8.479822195186468E-01;-9.369257312616095E-03;9.343484166661668E-04;-1.910163299021605E-03;
2.020000000000000E+09;8.253435866859168E-01;-1.668156104735926E-01;8.456693169985949E-01;-5.823385031591693E-02;8.199660925119296E-04;-1.971800576051099E-03;
2.021250000000000E+09;8.143423049343804E-01;-2.142804589039642E-01;8.408608752956342E-01;-1.066245812554565E-01;6.878615963664709E-04;-1.984511719932224E-03;
2.022500000000000E+09;8.002518352907843E-01;-2.609855349353577E-01;8.334396221267431E-01;-1.547137412741111E-01;5.524948814744288E-04;-1.995755122410851E-03;
2.023750000000000E+09;7.838409886721834E-01;-3.068940994799592E-01;8.229268819093793E-01;-2.025297727072330E-01;4.533047066836117E-04;-2.036724695662786E-03;
2.025000000000000E+09;7.645236816994749E-01;-3.516644321670408E-01;8.097721330879706E-01;-2.493955200760024E-01;3.460417227043983E-04;-2.066127613409908E-03;
2.026250000000000E+09;7.427710292280703E-01;-3.953677214725435E-01;7.939539635728990E-01;-2.956616936437790E-01;2.272755215134520E-04;-2.105837008210388E-03;
2.027500000000000E+09;7.181800994979755E-01;-4.378106578171283E-01;7.754090191651049E-01;-3.409792130756386E-01;8.059073703039780E-05;-2.083252560146275E-03;
2.028750000000000E+09;6.914964234634438E-01;-4.789230503086954E-01;7.541579536123010E-01;-3.850452167532815E-01;-3.070264039882969E-05;-2.133764159238772E-03;
