# Version 1.00
#
freq[Hz];re:Trc1_S11;im:Trc1_S11;re:Trc2_S22;im:Trc2_S22;re:Trc3_S21;im:Trc3_S21;
2.037500000000000E+09;4.642880100868322E-01;-7.004413966727479E-01;5.491411767298919E-01;-6.443351072903800E-01;1.268108014348022E-03;-4.826954822586562E-04;
2.038750000000000E+09;4.224751869231531E-01;-7.264626403202223E-01;5.105777985319255E-01;-6.750782554786974E-01;1.210295516167955E-03;-5.560226367611042E-04;
2.040000000000000E+09;3.792977536940952E-01;-7.500280849333902E-01;4.701489492788821E-01;-7.033882569103114E-01;1.167464191720729E-03;-5.958094344305423E-04;
2.041250000000000E+09;3.348314054337045E-01;-7.705803021917697E-01;4.284014945165699E-01;-7.294317403904930E-01;1.129652240019741E-03;-6.849477665443271E-04;
2.042500000000000E+09;2.895299352614248E-01;-7.888593161047412E-01;3.852146049113594E-01;-7.530021614086847E-01;1.072237508612323E-03;-7.195123149501992E-04;
2.043750000000000E+09;2.430910818628818E-01;-8.043184892342496E-01;3.405568059241769E-01;-7.742430797693075E-01;1.034433701386581E-03;-7.485815529909972E-04;
2.045000000000000E+09;1.956389397591794E-01;-8.171177755291099E-01;2.945496075823503E-01;-7.925836990110821E-01;9.441722388544116E-04;-8.196445169201260E-04;
2.046250000000000E+09;1.477216533402778E-01;-8.268621427382146E-01;2.478654360042004E-01;-8.085149075567798E-01;8.977471130683344E-04;-8.293217850616693E-04;
2.047500000000000E+09;9.934967209186017E-02;-8.344677208618807E-01;2.000573868411652E-01;-8.214936648144404E-01;8.776461972923756E-04;-8.901332452232796E-04;
2.048750000000000E+09;5.040463688638014E-02;-8.386181743101085E-01;1.517612500055177E-01;-8.315565582972014E-01;8.028890960734496E-04;-9.125386300047806E-04;
2.050000000000000E+09;1.643746161695671E-03;-8.402797093959701E-01;1.029028069260042E-01;-8.392231779910723E-01;7.468720601819702E-04;-9.689846618293451E-04;
2.051250000000000E+09;-4.703890484324854E-02;-8.387701058214319E-01;5.366876613904993E-02;-8.436268698374526E-01;7.034647597592726E-04;-9.964869934870433E-04;
2.052500000000000E+09;-9.592627701572512E-02;-8.347490501326272E-01;4.236298372390525E-03;-8.450743600841396E-01;6.409960870116857E-04;-9.649899996558239E-04;
2.053750000000000E+09;-1.443058859553521E-01;-8.279415144532641E-01;-4.529879535759213E-02;-8.437470448713664E-01;5.809523381389852E-04;-1.000495489781568E-03;
2.055000000000000E+09;-1.923750710457383E-01;-8.182198559828362E-01;-9.460263265201155E-02;-8.399047278213393E-01;5.348562511064296E-04;-1.012879331479513E-03;
2.056250000000000E+09;-2.395627938978469E-01;-8.057579611792232E-01;-1.434392356106961E-01;-8.330146438863216E-01;4.553495444895002E-04;-1.025795600239701E-03;
2.057500000000000E+09;-2.858113487695313E-01;-7.906835514908759E-01;-1.918035416289481E-01;-8.228422965449526E-01;4.586726638300629E-04;-1.029791377865106E-03;
2.058750000000000E+09;-3.316521594443229E-01;-7.727649649461007E-01;-2.395422405097623E-01;-8.102555628189638E-01;4.307829390836717E-04;-1.063770963972654E-03;
2.060000000000000E+09;-3.756793051553664E-01;-7.524323012391242E-01;-2.861922920688298E-01;-7.947635724605663E-01;3.960718463255367E-04;-1.037487950673007E-03;
2.061250000000000E+09;-4.184780658814379E-01;-7.296672147311208E-01;-3.323257337217460E-01;-7.767461928727496E-01;3.586380944334201E-04;-1.102925759626088E-03;
2.062500000000000E+09;-4.600317563274863E-01;-7.045232317140624E-01;-3.769044894390073E-01;-7.562164763963636E-01;3.258187946413628E-04;-1.143601798541283E-03;
2.063750000000000E+09;-4.996532042161744E-01;-6.771233411809622E-01;-4.204233309667393E-01;-7.333261479765878E-01;2.536741065259982E-04;-1.119039014088042E-03;
2.065000000000000E+09;-5.380201091097278E-01;-6.473688060943518E-01;-4.622114076533684E-01;-7.075661473514963E-01;1.715849268571869E-04;-1.132197035130466E-03;
2.066250000000000E+09;-5.741369911834444E-01;-6.156811589259236E-01;-5.025704788303831E-01;-6.797314693358160E-01;1.669262949665699E-04;-1.161526328002388E-03;
2.067500000000000E+09;-6.086535846033708E-01;-5.822323214250988E-01;-5.414524166579637E-01;-6.495786052071348E-01;1.085548032684694E-04;-1.135164431583958E-03;
2.068750000000000E+09;-6.411904466098973E-01;-5.463996887507985E-01;-5.784204062519249E-01;-6.171867550538088E-01;7.401607146998517E-05;-1.177864348061418E-03;
2.070000000000000E+09;-6.713611321342291E-01;-5.091552409537120E-01;-6.128281945778769E-01;-5.828325852654931E-01;2.245995503978237E-05;-1.186254637837299E-03;
2.071250000000000E+09;-6.995777178033973E-01;-4.701198771461224E-01;-6.458342700570524E-01;-5.465004735827609E-01;-1.663540177014062E-05;-1.221485517545506E-03;
