# Version 1.00
#
freq[Hz];re:Trc1_S11;im:Trc1_S11;re:Trc2_S22;im:Trc2_S22;re:Trc3_S21;im:Trc3_S21;
2.000000000000000E+09;6.063400258734382E-01;5.868583203045120E-01;5.629059455203750E-01;6.368074331803956E-01;-8.074402577216563E-04;2.285424973520296E-03;
2.001250000000000E+09;6.390844857086888E-01;5.511645413792402E-01;5.981225490493077E-01;6.041131035807259E-01;-6.508770546623338E-04;2.274619113567641E-03;
2.002500000000000E+09;6.693216632747512E-01;5.137204121339799E-01;6.311704681981297E-01;5.696486592164806E-01;-5.266033427569028E-04;2.338087820607926E-03;
2.003750000000000E+09;6.975480505311848E-01;4.745349150599629E-01;6.621825771495731E-01;5.330717042869928E-01;-3.731735605358480E-04;2.347259279312078E-03;
2.005000000000000E+09;7.234288625430030E-01;4.337336552045142E-01;6.910501684334213E-01;4.949112283199594E-01;-2.343009359142029E-04;2.341926156714070E-03;
2.006250000000000E+09;7.470555907442985E-01;3.916375098116895E-01;7.181468830614675E-01;4.550337338504763E-01;-7.744701176145827E-05;2.371570459570487E-03;
2.007500000000000E+09;7.682208682169384E-01;3.478771423823079E-01;7.426699512978456E-01;4.137547310960673E-01;6.209845491898752E-05;2.327352871337898E-03;
2.008750000000000E+09;7.868305835324453E-01;3.032375730723563E-01;7.648714855865226E-01;3.709463641824787E-01;2.146587498251218E-04;2.327163580101530E-03;
2.010000000000000E+09;8.030382058450930E-01;2.575624549115094E-01;7.846680175146562E-01;3.271130701246513E-01;3.450265264747944E-04;2.262565640647783E-03;
2.011250000000000E+09;8.162952753840425E-01;2.109985398507831E-01;8.018835460103270E-01;2.819093762855636E-01;4.791700484444808E-04;2.257537879969140E-03;
2.012500000000000E+09;8.269712222345125E-01;1.638395020283054E-01;8.165928498519796E-01;2.358509080204823E-01;6.037957860714138E-04;2.158590225045014E-03;
2.013750000000000E+09;8.349777399830005E-01;1.158496789512063E-01;8.286253171467416E-01;1.888171564677819E-01;7.146517557228738E-04;2.090544716230084E-03;
2.015000000000000E+09;8.401247919220366E-01;6.746557563535314E-02;8.379164532755031E-01;1.412125265283255E-01;8.407903256030379E-04;2.044121256390812E-03;
2.016250000000000E+09;8.423376948074260E-01;1.893082368517158E-02;8.446394284755190E-01;9.303831150752781E-02;9.619410973866051E-04;1.971721099118483E-03;
2.017500000000000E+09;8.421538242098628E-01;-2.970026030587949E-02;8.483579955914189E-01;4.455793734831297E-02;1.065085529141594E-03;1.910144676387143E-03;
2.018750000000000E+09;8.387912934729918E-01;-7.825203810179214E-02;8.495073291003202E-01;-4.151363268668760E-03;1.176827745203625E-03;1.804654542892222E-03;
2.020000000000000E+09;8.328306663714843E-01;-1.265916162290864E-01;8.476566034292662E-01;-5.309708289935054E-02;1.259922972660216E-03;1.713270525534339E-03;
2.021250000000000E+09;8.240250327002872E-01;-1.744886032585469E-01;8.429772179210843E-01;-1.013753805465405E-01;1.316624445145627E-03;1.595540283716596E-03;
2.022500000000000E+09;8.123954688438944E-01;-2.219535634459734E-01;8.358883922637322E-01;-1.495374958152834E-01;1.424208905451259E-03;1.500168391773648E-03;
2.023750000000000E+09;7.980889317616382E-01;-2.685994906209369E-01;8.255886819667948E-01;-1.972815840332163E-01;1.463119664565641E-03;1.408180807831288E-03;
2.025000000000000E+09;7.812875231398547E-01;-3.143323177366115E-01;8.128812668041600E-01;-2.445777697050768E-01;1.502570144259193E-03;1.318635473219664E-03;
2.026250000000000E+09;7.614324385955327E-01;-3.590022835620595E-01;7.972636902550913E-01;-2.909180369312901E-01;1.567300905822433E-03;1.239598473157769E-03;
2.027500000000000E+09;7.391528063645887E-01;-4.025840552312324E-01;7.790481894199378E-01;-3.365144851486019E-01;1.634335422193988E-03;1.137498231465257E-03;
2.028750000000000E+09;7.142941850248956E-01;-4.449989074194207E-01;7.581743794367221E-01;-3.806394143328286E-01;1.671092051353102E-03;1.008194226761077E-03;
2.030000000000000E+09;6.872321678232173E-01;-4.855638709026729E-01;7.346752433616298E-01;-4.238231248538396E-01;1.661804945785555E-03;9.304990678763216E-04;
2.031250000000000E+09;6.577488946312304E-01;-5.247677319931267E-01;7.089156517850662E-01;-4.656803039265642E-01;1.739658804897644E-03;8.497602460712396E-04;
2.032500000000000E+09;6.257575103967460E-01;-5.617667991311877E-01;6.805369509979462E-01;-5.057723468048965E-01;1.757530207747114E-03;7.323826986177353E-04;
2.033750000000000E+09;5.919220236727265E-01;-5.975436211117501E-01;6.497117383466701E-01;-5.443349535451163E-01;1.776565293570975E-03;6.203615076795506E-04;
2.035000000000000E+09;5.561936259025355E-01;-6.309285529429500E-01;6.170445514882348E-01;-5.810623424030404E-01;1.803241046245074E-03;5.321994444754299E-04;
2.036250000000000E+09;5.179192729675185E-01;-6.621493607145226E-01;5.818647874137377E-01;-6.157880578709298E-01;1.797364604180363E-03;4.407571605258816E-04;
2.037500000000000E+09;4.785776429690746E-01;-6.913202915953045E-01;5.447897909610372E-01;-6.486422313259441E-01;1.834327013545077E-03;3.062732530535193E-04;
2.038750000000000E+09;4.371380894805086E-01;-7.181133802436646E-01;5.060248892688738E-01;-6.792290533374610E-01;1.852481628198349E-03;1.883496025063942E-04;
2.040000000000000E+09;3.943263695840202E-01;-7.422337010519504E-01;4.652491483869841E-01;-7.073881510742219E-01;1.829952108378840E-03;6.886014500023171E-05;
2.041250000000000E+09;3.503950021834434E-01;-7.637852492804640E-01;4.232365896342445E-01;-7.334822937656179E-01;1.798832785116998E-03;-4.763248350068187E-05;
2.042500000000000E+09;3.052866532707852E-01;-7.827174552492178E-01;3.794923279312604E-01;-7.564033588123709E-01;1.758184514300104E-03;-1.641569048257598E-04;
2.043750000000000E+09;2.590540912326033E-01;-7.990819609696236E-01;3.347654446827589E-01;-7.771682076110865E-01;1.706537829092107E-03;-2.505042074146138E-04;
2.045000000000000E+09;2.123215399251483E-01;-8.129127979740436E-01;2.887008155993278E-01;-7.953230844005365E-01;1.653457806666158E-03;-3.275571435412857E-04;
2.046250000000000E+09;1.646257190636444E-01;-8.240256734936453E-01;2.416342561193687E-01;-8.106910513273609E-01;1.603009796772850E-03;-3.881950521577807E-04;
2.047500000000000E+09;1.162071362229212E-01;-8.323486477180243E-01;1.937646925676765E-01;-8.233879125376198E-01;1.579021061855604E-03;-4.398450551869712E-04;
2.048750000000000E+09;6.784703773712744E-02;-8.374855174491151E-01;1.454149078940889E-01;-8.331508278365608E-01;1.562332185777842E-03;-5.015531257524853E-04;
2.050000000000000E+09;1.876235884231769E-02;-8.400265650247515E-01;9.633028706368596E-02;-8.402264321300763E-01;1.506229431612373E-03;-6.150294286452696E-04;
2.051250000000000E+09;-3.023586107307190E-02;-8.397596143030330E-01;4.688028676356649E-02;-8.438922047022366E-01;1.457835800138382E-03;-6.568007221621278E-04;
2.052500000000000E+09;-7.902647278981589E-02;-8.367026844148461E-01;-2.505643594230531E-03;-8.455088355707362E-01;1.413409385357000E-03;-7.357270195674926E-04;
2.053750000000000E+09;-1.277618295706142E-01;-8.307912653754185E-01;-5.211108655596210E-02;-8.438390137822573E-01;1.389319401658443E-03;-8.059987334619669E-04;
2.055000000000000E+09;-1.756761722363619E-01;-8.219609866620602E-01;-1.013338871323799E-01;-8.392268765110352E-01;1.334656476090979E-03;-8.938889897806428E-04;
2.056250000000000E+09;-2.233276632466806E-01;-8.105304431382311E-01;-1.502008345575252E-01;-8.319563879293286E-01;1.291787282168067E-03;-9.146881185279958E-04;
2.057500000000000E+09;-2.701228196161238E-01;-7.963840888081143E-01;-1.986573745272943E-01;-8.216984138748149E-01;1.241732016533869E-03;-9.884785653587488E-04;
2.058750000000000E+09;-3.159574452561610E-01;-7.793142774953193E-01;-2.463448563598031E-01;-8.085430815570318E-01;1.176247329710575E-03;-1.080622135223477E-03;
