# Version 1.00
#
freq[Hz];re:Trc1_S11;im:Trc1_S11;re:Trc2_S22;im:Trc2_S22;re:Trc3_S21;im:Trc3_S21;
2.000000000000000E+09;5.984535990844527E-01;5.966791200436344E-01;5.161415761729586E-01;6.739704485308771E-01;6.216360866234020E-05;1.404813547366606E-03;
2.001250000000000E+09;6.313546935390496E-01;5.616739574023092E-01;5.532168338980966E-01;6.438548842091831E-01;1.589320777347036E-04;1.389548399029790E-03;
2.002500000000000E+09;6.623660412125881E-01;5.246511319484740E-01;5.886506900724572E-01;6.118697759206780E-01;2.326811142130613E-04;1.395276089989618E-03;
2.003750000000000E+09;6.912307617656367E-01;4.860332418670414E-01;6.220688128696065E-01;5.776573587269271E-01;3.419731503387773E-04;1.333617411574618E-03;
2.005000000000000E+09;7.177724188685860E-01;4.457157128765005E-01;6.534206054454351E-01;5.418896352852360E-01;4.224715434302318E-04;1.338734568837843E-03;
2.006250000000000E+09;7.420286676530385E-01;4.039504381954822E-01;6.830002182420046E-01;5.043014389731327E-01;5.111322117248645E-04;1.273912948302239E-03;
2.007500000000000E+09;7.638152816325007E-01;3.608696521096152E-01;7.101570502752652E-01;4.649752420004180E-01;5.795900708773321E-04;1.265102353411955E-03;
2.008750000000000E+09;7.830919463778999E-01;3.164033050060242E-01;7.353057016460017E-01;4.242355690939542E-01;6.905905866617453E-04;1.186699972473493E-03;
2.010000000000000E+09;7.999736384136243E-01;2.708689678633454E-01;7.582272754155662E-01;3.820658308586034E-01;7.445479735772108E-04;1.152195024030306E-03;
2.011250000000000E+09;8.139327674658344E-01;2.246327338692584E-01;7.783803876083423E-01;3.383085372996527E-01;7.972840028646631E-04;1.096800771236234E-03;
2.012500000000000E+09;8.253493127887729E-01;1.775002835145378E-01;7.961918593027423E-01;2.938112051775195E-01;8.426431929860831E-04;1.042481072852883E-03;
2.013750000000000E+09;8.339835595874943E-01;1.295627569266407E-01;8.116159450190686E-01;2.479214482470689E-01;8.679521937606014E-04;9.787104155531939E-04;
2.015000000000000E+09;8.398947073610917E-01;8.141981546851192E-02;8.244659684581277E-01;2.015007303434770E-01;9.395306826797287E-04;9.271154965469669E-04;
2.016250000000000E+09;8.431053621616138E-01;3.284736898778089E-02;8.344016587488009E-01;1.540849273943038E-01;9.907099528744139E-04;8.859061017587235E-04;
2.017500000000000E+09;8.436302188406778E-01;-1.566412099261881E-02;8.418686103062630E-01;1.062477846781668E-01;1.032881635539198E-03;8.334477378413310E-04;
2.018750000000000E+09;8.411229752384767E-01;-6.430676748759641E-02;8.463495672069088E-01;5.782751986568697E-02;1.094983096693637E-03;7.491134638983253E-04;
2.020000000000000E+09;8.357640031926762E-01;-1.130488588984467E-01;8.481192558156017E-01;9.307975952441783E-03;1.104167504599205E-03;6.923692231631781E-04;
2.021250000000000E+09;8.278326821236156E-01;-1.609436677248776E-01;8.472003981331976E-01;-3.901669474424475E-02;1.177178234862261E-03;6.184275935161986E-04;
2.022500000000000E+09;8.169207357542732E-01;-2.084613850396179E-01;8.433892950286845E-01;-8.745967540360770E-02;1.193374932739293E-03;5.374217824696037E-04;
2.023750000000000E+09;8.033419175544816E-01;-2.553917078827876E-01;8.367995477532479E-01;-1.356732668927237E-01;1.242579513720268E-03;5.064711630242357E-04;
2.025000000000000E+09;7.871316831675560E-01;-3.012425056987064E-01;8.275289335344153E-01;-1.835400582398976E-01;1.211541511226390E-03;3.980796685652967E-04;
2.026250000000000E+09;7.682783306400025E-01;-3.462334906832883E-01;8.154431799169347E-01;-2.306052792823817E-01;1.240490074805627E-03;3.507113850994927E-04;
2.027500000000000E+09;7.467919480759984E-01;-3.902345182504116E-01;8.004846174450000E-01;-2.771036373560045E-01;1.252527263737585E-03;2.937858032842165E-04;
2.028750000000000E+09;7.228342124785176E-01;-4.328648049950318E-01;7.830482221682816E-01;-3.226341497942616E-01;1.260264881524003E-03;2.279668087765716E-04;
2.030000000000000E+09;6.962207207550729E-01;-4.740123260800698E-01;7.630961846194788E-01;-3.672017473155710E-01;1.265470195655791E-03;1.719679399324515E-04;
2.031250000000000E+09;6.672962738047457E-01;-5.134918329263316E-01;7.402178091982329E-01;-4.108488205206354E-01;1.247286093130222E-03;6.982165330953495E-05;
2.032500000000000E+09;6.361822143009179E-01;-5.516650481171853E-01;7.150655905337805E-01;-4.526476023878272E-01;1.293075172732964E-03;3.738767083410499E-05;
2.033750000000000E+09;6.028552948688055E-01;-5.876653119090923E-01;6.874939372928520E-01;-4.933238515511206E-01;1.261640073917041E-03;-3.835089975817027E-05;
2.035000000000000E+09;5.674737354634799E-01;-6.216927496216031E-01;6.575357865445596E-01;-5.320844747735624E-01;1.275065088711526E-03;-8.481372205648703E-05;
2.036250000000000E+09;5.299496201707369E-01;-6.537620656062596E-01;6.255360595902418E-01;-5.691706765143160E-01;1.258335309346268E-03;-1.492001398215040E-04;
2.037500000000000E+09;4.907688236594173E-01;-6.836109240254301E-01;5.910341233323344E-01;-6.044892861313151E-01;1.269061083897796E-03;-2.329534247000923E-04;
2.038750000000000E+09;4.499466545061609E-01;-7.110087750722942E-01;5.547087379408918E-01;-6.378424635230686E-01;1.285746532128455E-03;-2.732024991933648E-04;
2.040000000000000E+09;4.074704908363754E-01;-7.361526955709891E-01;5.164127343504581E-01;-6.689399489592148E-01;1.282205347440009E-03;-3.200685795495679E-04;
2.041250000000000E+09;3.640078810027023E-01;-7.586861315711273E-01;4.764847901742071E-01;-6.978822637099718E-01;1.247669252013974E-03;-4.030916331921682E-04;
2.042500000000000E+09;3.189505965386822E-01;-7.784853481569081E-01;4.348154391747823E-01;-7.242353571172326E-01;1.253338507511985E-03;-4.980407692427995E-04;
2.043750000000000E+09;2.730974952825520E-01;-7.954517226103939E-01;3.919338665669395E-01;-7.483705090363211E-01;1.219287206208155E-03;-5.515830329263034E-04;
2.045000000000000E+09;2.264489504767374E-01;-8.099758755509187E-01;3.473759699340496E-01;-7.696298176224937E-01;1.205845518042856E-03;-6.719949281500132E-04;
2.046250000000000E+09;1.785646096979665E-01;-8.216724472968617E-01;3.016177703523906E-01;-7.883825246356493E-01;1.166287038968174E-03;-7.095350379646544E-04;
2.047500000000000E+09;1.303250401432486E-01;-8.308235261901055E-01;2.551184461551023E-01;-8.047034056285068E-01;1.120280494635829E-03;-8.282465244527509E-04;
2.048750000000000E+09;8.170962809188290E-02;-8.369006001467671E-01;2.076326227449791E-01;-8.179799621204696E-01;1.072264759533936E-03;-8.673259320084243E-04;
2.050000000000000E+09;3.292249318904966E-02;-8.401401478712840E-01;1.593202458622744E-01;-8.284989702379513E-01;9.630139041369135E-04;-9.438912092766860E-04;
