# Version 1.00
#
freq[Hz];re:Trc1_S11;im:Trc1_S11;re:Trc2_S22;im:Trc2_S22;re:Trc3_S21;im:Trc3_S21;
2.000000000000000E+09;6.684034842193103E-01;5.079234783316490E-01;5.563342391740125E-01;6.428368231007356E-01;-1.947572078591056E-04;1.045537731782692E-03;
2.001250000000000E+09;6.965442594682382E-01;4.685598121731504E-01;5.918255999092197E-01;6.104714451158167E-01;-1.619951044242477E-04;1.022604971615717E-03;
2.002500000000000E+09;7.223191290705746E-01;4.275977772938480E-01;6.252977555859305E-01;5.762958752830258E-01;-1.224761906554671E-04;1.024622313648820E-03;
2.003750000000000E+09;7.459655187597823E-01;3.851320115152759E-01;6.566592586087452E-01;5.401470125401705E-01;-6.857326143054393E-05;1.062045029120029E-03;
2.005000000000000E+09;7.667448233393472E-01;3.416655962551693E-01;6.860214291985001E-01;5.023173452575976E-01;-1.441348581332866E-05;1.017030826394234E-03;
2.006250000000000E+09;7.851375024006485E-01;2.968158410006064E-01;7.134792830549070E-01;4.627505920824384E-01;1.116522617904137E-05;1.047479431438921E-03;
2.007500000000000E+09;8.009753751156388E-01;2.509900103656845E-01;7.383679416061514E-01;4.214549881187072E-01;8.014131694202752E-05;1.073882268708571E-03;
2.008750000000000E+09;8.140932214001365E-01;2.041325422300735E-01;7.609296335996217E-01;3.791863236286073E-01;1.557373302866055E-04;1.044081081249533E-03;
2.010000000000000E+09;8.245938694958956E-01;1.566588576085114E-01;7.813760647449373E-01;3.355761365132402E-01;2.012492177993383E-04;1.062067299975462E-03;
2.011250000000000E+09;8.322400735420832E-01;1.087660427545206E-01;7.988903331630318E-01;2.903366904453376E-01;2.205365832694624E-04;1.058005758370346E-03;
2.012500000000000E+09;8.370296347519118E-01;6.047069801034251E-02;8.139270174117019E-01;2.445594410653764E-01;3.187253225046841E-04;1.055256374586748E-03;
2.013750000000000E+09;8.390173246770941E-01;1.180791667709662E-02;8.263526238042254E-01;1.978187935090807E-01;3.402583954699118E-04;1.026699228313287E-03;
2.015000000000000E+09;8.383289032363392E-01;-3.705346825377938E-02;8.363562336233109E-01;1.502721085245184E-01;3.788217422527835E-04;1.004006006937202E-03;
2.016250000000000E+09;8.347317480225814E-01;-8.550025333733013E-02;8.434919274427871E-01;1.022234334266068E-01;4.500214443091316E-04;1.015171999525750E-03;
2.017500000000000E+09;8.282911167871071E-01;-1.338418187136547E-01;8.476967148724799E-01;5.370086874745381E-02;5.331510627392273E-04;9.878321796499955E-04;
2.018750000000000E+09;8.190920517690846E-01;-1.816508496757361E-01;8.493921460138573E-01;4.963723084987126E-03;5.484081833120717E-04;9.910268627583627E-04;
2.020000000000000E+09;8.069930605902238E-01;-2.288216174237751E-01;8.479888935175512E-01;-4.357769901038994E-02;6.163989211412861E-04;9.445577842600943E-04;
2.021250000000000E+09;7.923935100186960E-01;-2.752337448032989E-01;8.439129640023089E-01;-9.200741569913531E-02;6.674312600675161E-04;9.402738117018601E-04;
2.022500000000000E+09;7.750779591254063E-01;-3.208076619253483E-01;8.369576219669121E-01;-1.403893248666423E-01;7.254050392601862E-04;9.026586886885031E-04;
2.023750000000000E+09;7.550308912472131E-01;-3.652509203828951E-01;8.275697112834931E-01;-1.881626048479850E-01;7.666251428558145E-04;8.956033933514600E-04;
2.025000000000000E+09;7.324319356498480E-01;-4.086044123720258E-01;8.154173795159854E-01;-2.354853178108776E-01;8.248686416228177E-04;8.333729084732624E-04;
2.026250000000000E+09;7.075103603978236E-01;-4.503481144420958E-01;8.002424501929370E-01;-2.818964004651312E-01;9.107844319446691E-04;8.229102695473062E-04;
2.027500000000000E+09;6.800112090808370E-01;-4.906396106998913E-01;7.823788002852883E-01;-3.274739333977275E-01;9.655804315357078E-04;7.953713818429389E-04;
2.028750000000000E+09;6.504349930782046E-01;-5.294424229477399E-01;7.620734270402573E-01;-3.720747607148848E-01;1.010762368555643E-03;7.335450613855643E-04;
2.030000000000000E+09;6.182701454532297E-01;-5.662528233298103E-01;7.390605050162531E-01;-4.156158070521895E-01;1.050412988684075E-03;6.638856344726619E-04;
2.031250000000000E+09;5.840280235832398E-01;-6.013405314137985E-01;7.139146323246564E-01;-4.574198321589333E-01;1.057737178476347E-03;5.826813662505279E-04;
2.032500000000000E+09;5.480265455040149E-01;-6.344564515872090E-01;6.858289344518582E-01;-4.978473199258624E-01;1.090888327524831E-03;5.148155200526684E-04;
2.033750000000000E+09;5.103603041554255E-01;-6.652858566999859E-01;6.558043342880155E-01;-5.367698496237447E-01;1.105706932142298E-03;5.107194291173422E-04;
2.035000000000000E+09;4.702897598638639E-01;-6.938678456546707E-01;6.231981818723644E-01;-5.738420197141667E-01;1.167662268276805E-03;4.315332729803902E-04;
2.036250000000000E+09;4.291382485688685E-01;-7.199567744705817E-01;5.886661979731781E-01;-6.088980664764189E-01;1.192089740091563E-03;3.878473601251304E-04;
2.037500000000000E+09;3.862844218406433E-01;-7.439624696733326E-01;5.523028500845216E-01;-6.419963201074979E-01;1.214381493232927E-03;3.184263552916000E-04;
2.038750000000000E+09;3.424153497629615E-01;-7.652490102547309E-01;5.135715286459724E-01;-6.730749843372938E-01;1.230299995238558E-03;2.535796524694708E-04;
2.040000000000000E+09;2.969584382161753E-01;-7.839189040720397E-01;4.732333429359351E-01;-7.016931930920169E-01;1.272927922237200E-03;2.068534878617614E-04;
2.041250000000000E+09;2.508711157301960E-01;-7.997939928101463E-01;4.317189455824580E-01;-7.278581387842065E-01;1.297559320422930E-03;1.341493214072963E-04;
2.042500000000000E+09;2.041215042477346E-01;-8.130392936558967E-01;3.883440128452564E-01;-7.516219986669840E-01;1.285932998403160E-03;5.673071110705701E-05;
2.043750000000000E+09;1.567257006429046E-01;-8.236360222920915E-01;3.436789248090592E-01;-7.729115032013458E-01;1.318257725658442E-03;-2.605273059085440E-05;
2.045000000000000E+09;1.086482941064593E-01;-8.312861188364594E-01;2.979650992498304E-01;-7.917292638618250E-01;1.267600447031957E-03;-6.256381993582997E-05;
2.046250000000000E+09;6.040047878747631E-02;-8.362741723769871E-01;2.510258274271264E-01;-8.074025040317272E-01;1.331365037485743E-03;-1.638785540736488E-04;
2.047500000000000E+09;1.169224657743193E-02;-8.385078794213511E-01;2.034842250996056E-01;-8.208078682264383E-01;1.302575578895427E-03;-2.294599935527049E-04;
2.048750000000000E+09;-3.683663154053647E-02;-8.378684616691997E-01;1.551058931148247E-01;-8.310603701903817E-01;1.300383029380864E-03;-3.235527500747647E-04;
2.050000000000000E+09;-8.526536240103968E-02;-8.343660250596771E-01;1.060590418087624E-01;-8.386959765380070E-01;1.278471638525096E-03;-3.974882291893206E-04;
2.051250000000000E+09;-1.334884639695078E-01;-8.283438307049583E-01;5.668158197937592E-02;-8.434652393543554E-01;1.277707390209645E-03;-4.465401368221744E-04;
2.052500000000000E+09;-1.813685316166136E-01;-8.194805937667728E-01;7.282223270328501E-03;-8.452706729230092E-01;1.207234763004207E-03;-5.244832958726640E-04;
2.053750000000000E+09;-2.283966844896123E-01;-8.074775848226531E-01;-4.214451351853010E-02;-8.441097404980996E-01;1.255996806739521E-03;-6.022868136770157E-04;
2.055000000000000E+09;-2.747267964297692E-01;-7.933055078561232E-01;-9.152992190149835E-02;-8.402835170588413E-01;1.199376823152284E-03;-6.360226496579044E-04;
2.056250000000000E+09;-3.202241566281119E-01;-7.761958112419389E-01;-1.404945608702557E-01;-8.333151905957581E-01;1.189920689154233E-03;-6.906749800639749E-04;
2.057500000000000E+09;-3.645103918965640E-01;-7.563138887365476E-01;-1.889078262160098E-01;-8.237009613562314E-01;1.140082717843284E-03;-7.759510837766197E-04;
2.058750000000000E+09;-4.077069528498729E-01;-7.345021103862907E-01;-2.370441393394798E-01;-8.110383722773140E-01;1.148182391671473E-03;-8.300443532080486E-04;
