# Version 1.00
#
freq[Hz];db:Trc1_S11;ang:Trc1_S11;db:Trc2_S22;ang:Trc2_S22;db:Trc3_S21;ang:Trc3_S21;
2.032500000000000E+09;-7.866753361536815E-01;2.115673163564423E+01;-1.490838629746660E+00;-3.184975328237982E+01;-5.839936338774951E+01;-1.170524589645832E+02;
2.033750000000000E+09;-7.866922077283467E-01;1.885332067354053E+01;-1.494004420060101E+00;-3.519197708387859E+01;-5.849025582281536E+01;-1.195888737033874E+02;
2.035000000000000E+09;-7.885313381468916E-01;1.653560641559439E+01;-1.494768185052088E+00;-3.854134074087781E+01;-5.844402261565853E+01;-1.232772645090238E+02;
2.036250000000000E+09;-7.882777004786397E-01;1.423407256409349E+01;-1.496998001047716E+00;-4.188720853762182E+01;-5.833756864407952E+01;-1.258979542777518E+02;
2.037500000000000E+09;-7.901974769174703E-01;1.189988252772174E+01;-1.499503012180981E+00;-4.523457458180631E+01;-5.846959100592703E+01;-1.275823093029147E+02;
2.038750000000000E+09;-7.910082680777235E-01;9.592333326463006E+00;-1.503397126879765E+00;-4.858710105468214E+01;-5.839877091991222E+01;-1.301699697846936E+02;
2.040000000000000E+09;-7.918869663354328E-01;7.262276256696153E+00;-1.505838469955243E+00;-5.195446760708798E+01;-5.859243034828658E+01;-1.331815197976295E+02;
2.041250000000000E+09;-7.912844349245146E-01;4.951511144168822E+00;-1.507788675812396E+00;-5.530985790436922E+01;-5.837727244577351E+01;-1.360172476340277E+02;
2.042500000000000E+09;-7.937753820505257E-01;2.650413078764860E+00;-1.508787112992177E+00;-5.866609708558724E+01;-5.833193073834552E+01;-1.387258021351085E+02;
2.043750000000000E+09;-7.942504322455972E-01;3.325206830886839E-01;-1.509042313350845E+00;-6.203083392959468E+01;-5.834729398641535E+01;-1.416246755373649E+02;
2.045000000000000E+09;-7.969852674457396E-01;-1.991313745624500E+00;-1.511228118422268E+00;-6.537372122764636E+01;-5.831041935460355E+01;-1.439364447296104E+02;
2.046250000000000E+09;-7.982083828169916E-01;-4.316463387577739E+00;-1.513692746587849E+00;-6.874459105766977E+01;-5.822047504186947E+01;-1.468772275998724E+02;
2.047500000000000E+09;-7.979749950827482E-01;-6.638953686445968E+00;-1.513540252061732E+00;-7.211211862091135E+01;-5.800463006427197E+01;-1.490133436472765E+02;
2.048750000000000E+09;-8.002922005666330E-01;-8.961114293900792E+00;-1.517146957345768E+00;-7.549064729028915E+01;-5.827238242887397E+01;-1.534627044335919E+02;
2.050000000000000E+09;-8.003725604093148E-01;-1.129682005260308E+01;-1.517784746654683E+00;-7.885525584422288E+01;-5.815938084599408E+01;-1.542621521442168E+02;
2.051250000000000E+09;-8.020673118217181E-01;-1.363367286453748E+01;-1.518066539449002E+00;-8.222190071242237E+01;-5.807667962259258E+01;-1.580263132900425E+02;
2.052500000000000E+09;-8.032189949081069E-01;-1.597457387106488E+01;-1.521086791605973E+00;-8.559386734622517E+01;-5.818287998202015E+01;-1.594911872132278E+02;
2.053750000000000E+09;-8.046659399876571E-01;-1.831944171897775E+01;-1.518308387109542E+00;-8.896208138391046E+01;-5.809780225610759E+01;-1.635310059846601E+02;
2.055000000000000E+09;-8.064993202304815E-01;-2.065705529220273E+01;-1.519972547139549E+00;-9.233213772146274E+01;-5.802554206280548E+01;-1.651907342915718E+02;
2.056250000000000E+09;-8.071602598606435E-01;-2.300858914240435E+01;-1.522662876276930E+00;-9.570821435125929E+01;-5.817743758204598E+01;-1.678601508638470E+02;
