# Version 1.00
#
freq[Hz];db:Trc1_S11;ang:Trc1_S11;db:Trc2_S22;ang:Trc2_S22;db:Trc3_S21;ang:Trc3_S21;
2.000000000000000E+09;-1.482669318538306E+00;1.333775172981515E+02;-1.454584056867312E+00;5.473236492534058E+01;-5.612044268576690E+01;1.131108357257104E+02;
2.001250000000000E+09;-1.481755422368190E+00;1.301873803143358E+02;-1.454094989630450E+00;5.150627782336192E+01;-5.623897975710161E+01;1.102468639772579E+02;
2.002500000000000E+09;-1.477968563553694E+00;1.269883403334273E+02;-1.451966021917946E+00;4.825172717345271E+01;-5.604680970422984E+01;1.063444334369038E+02;
2.003750000000000E+09;-1.475814025682408E+00;1.238043495973040E+02;-1.450764330244767E+00;4.502666291281194E+01;-5.611824916740728E+01;1.020162180939105E+02;
2.005000000000000E+09;-1.475198697835580E+00;1.206214101966075E+02;-1.452572693118450E+00;4.177842201990051E+01;-5.625349699181043E+01;9.789264230981989E+01;
2.006250000000000E+09;-1.471690634906970E+00;1.174395253400596E+02;-1.450128507780038E+00;3.851915819139688E+01;-5.628698639490355E+01;9.295623340017548E+01;
2.007500000000000E+09;-1.469157027991416E+00;1.142564427152560E+02;-1.451014345672395E+00;3.526406705595425E+01;-5.625315602958899E+01;8.994735000397232E+01;
2.008750000000000E+09;-1.468166313303831E+00;1.110812360743107E+02;-1.451516465381375E+00;3.200404883949582E+01;-5.632634963502053E+01;8.594270985405603E+01;
2.010000000000000E+09;-1.465033895614234E+00;1.079183567091900E+02;-1.451767313856032E+00;2.875320848822937E+01;-5.643121790994837E+01;8.089515457409286E+01;
2.011250000000000E+09;-1.462578882301082E+00;1.047307363721857E+02;-1.452954557861632E+00;2.548102034769148E+01;-5.648752914184301E+01;7.742642273613610E+01;
2.012500000000000E+09;-1.460686987663043E+00;1.015732487705626E+02;-1.454012397781246E+00;2.221288573423396E+01;-5.648372360740969E+01;7.341688992619626E+01;
2.013750000000000E+09;-1.458842508578629E+00;9.841274824154084E+01;-1.455516416284869E+00;1.893869769623181E+01;-5.669240277405159E+01;6.916824513621106E+01;
2.015000000000000E+09;-1.457272602197999E+00;9.525658492276493E+01;-1.456332113847629E+00;1.565772204353558E+01;-5.695413592508979E+01;6.436595970920834E+01;
2.016250000000000E+09;-1.455138981987523E+00;9.209280734680300E+01;-1.457266349019447E+00;1.237168913563870E+01;-5.726241147024748E+01;6.112343266857974E+01;
2.017500000000000E+09;-1.453972700924883E+00;8.893948990693740E+01;-1.458643784705045E+00;9.079315808725342E+00;-5.725898004086987E+01;5.904875465663582E+01;
2.018750000000000E+09;-1.451424284671566E+00;8.578354241686324E+01;-1.459647634612493E+00;5.784483302538537E+00;-5.735720405120145E+01;5.453973106259675E+01;
2.020000000000000E+09;-1.449147436376663E+00;8.263581682972077E+01;-1.460408320049388E+00;2.498552959731107E+00;-5.736688415704019E+01;5.086693241260462E+01;
2.021250000000000E+09;-1.447733423769013E+00;7.949184842353017E+01;-1.462983202515271E+00;-8.037607220091432E-01;-5.749306994672730E+01;4.825859144100218E+01;
2.022500000000000E+09;-1.447455692645583E+00;7.634073036117810E+01;-1.462656045554976E+00;-4.098836804864367E+00;-5.758316650391274E+01;4.403677605550786E+01;
2.023750000000000E+09;-1.444446070718033E+00;7.319175121300103E+01;-1.464929227497676E+00;-7.398106661545610E+00;-5.788641429921253E+01;4.058976148222242E+01;
