# Version 1.00
#
freq[Hz];db:Trc1_S11;ang:Trc1_S11;db:Trc2_S22;ang:Trc2_S22;db:Trc3_S21;ang:Trc3_S21;
2.000000000000000E+09;-1.478721297604195E+00;1.344683299175829E+02;-1.440785911338138E+00;5.554742271063129E+01;-5.936552011106046E+01;1.572984478752157E+02;
2.001250000000000E+09;-1.476287444546273E+00;1.312633367699143E+02;-1.438941601237358E+00;5.231520209667201E+01;-5.905549727278195E+01;1.549694885627551E+02;
2.002500000000000E+09;-1.473529946370016E+00;1.280638638214362E+02;-1.439877382040170E+00;4.906995287039601E+01;-5.912800512140223E+01;1.530679777482678E+02;
2.003750000000000E+09;-1.472974362624934E+00;1.248823266483144E+02;-1.439454885692878E+00;4.583468933888638E+01;-5.917372055690272E+01;1.513465556930178E+02;
2.005000000000000E+09;-1.470730962365332E+00;1.217092063088258E+02;-1.439205297996695E+00;4.259698476050542E+01;-5.878965745497013E+01;1.482533025271599E+02;
2.006250000000000E+09;-1.467540852291927E+00;1.185215593470570E+02;-1.438814897970829E+00;3.936570313896348E+01;-5.867324124724024E+01;1.469404552425478E+02;
2.007500000000000E+09;-1.466999344785341E+00;1.153530803416286E+02;-1.440260952088702E+00;3.611589323924653E+01;-5.847092397797023E+01;1.426482294584530E+02;
2.008750000000000E+09;-1.463967284640322E+00;1.121780387438672E+02;-1.440220302632881E+00;3.287379975803423E+01;-5.829622623994352E+01;1.404064259170617E+02;
2.010000000000000E+09;-1.462034690568385E+00;1.090153678003264E+02;-1.440047735263241E+00;2.962165190098889E+01;-5.794821953862921E+01;1.367026648024307E+02;
2.011250000000000E+09;-1.459579839175984E+00;1.058538215971919E+02;-1.440093491951105E+00;2.636131951761767E+01;-5.780165114700881E+01;1.341660218080643E+02;
2.012500000000000E+09;-1.457027617442789E+00;1.026815243869091E+02;-1.441607182084038E+00;2.310137049484350E+01;-5.761021869608663E+01;1.291586073977808E+02;
2.013750000000000E+09;-1.454998763412605E+00;9.952041699881026E+01;-1.442097164986102E+00;1.982675107246469E+01;-5.746444940833064E+01;1.267069828392851E+02;
2.015000000000000E+09;-1.453892034257234E+00;9.637369164283486E+01;-1.443953857025540E+00;1.654210489351756E+01;-5.748397580091967E+01;1.222504347905613E+02;
2.016250000000000E+09;-1.452152931964235E+00;9.320909790412409E+01;-1.443224123994085E+00;1.326253955069109E+01;-5.737074816021081E+01;1.196827152827922E+02;
2.017500000000000E+09;-1.448923112864362E+00;9.005093643193742E+01;-1.446795218908482E+00;9.983679760711247E+00;-5.719203193393042E+01;1.169722168069021E+02;
2.018750000000000E+09;-1.447576796041224E+00;8.690052097901781E+01;-1.447594821028013E+00;6.685719389299734E+00;-5.702490599004648E+01;1.135599522248892E+02;
2.020000000000000E+09;-1.445982281315931E+00;8.374018558279754E+01;-1.449513649214947E+00;3.400660730717833E+00;-5.682140512308254E+01;1.096027952193674E+02;
2.021250000000000E+09;-1.444247054302146E+00;8.059118585944515E+01;-1.450393904029809E+00;1.186722224053765E-01;-5.668227050057177E+01;1.056754830612827E+02;
2.022500000000000E+09;-1.444014497152454E+00;7.745605008317372E+01;-1.451675320132770E+00;-3.187153207468163E+00;-5.657020612866877E+01;1.023680806243957E+02;
2.023750000000000E+09;-1.441605542369810E+00;7.432077084228543E+01;-1.452069121467598E+00;-6.475691588239996E+00;-5.652947173829232E+01;9.827537438804922E+01;
2.025000000000000E+09;-1.441277036972927E+00;7.116390755483290E+01;-1.453767369527285E+00;-9.787834405298950E+00;-5.642070320671212E+01;9.365804388502572E+01;
2.026250000000000E+09;-1.439469295376422E+00;6.802359111302555E+01;-1.455524376769144E+00;-1.308274156682636E+01;-5.631305050135958E+01;8.935544533713332E+01;
2.027500000000000E+09;-1.437538821474124E+00;6.487178368788743E+01;-1.455993750768735E+00;-1.640270169663313E+01;-5.630943747659334E+01;8.663910222091921E+01;
2.028750000000000E+09;-1.435066197928420E+00;6.172941135539669E+01;-1.458660729244930E+00;-1.971492902495386E+01;-5.625015833074400E+01;8.265219888835018E+01;
2.030000000000000E+09;-1.434955121884421E+00;5.858443888744495E+01;-1.461098465282982E+00;-2.305252068861377E+01;-5.606635641256324E+01;7.839339620746209E+01;
2.031250000000000E+09;-1.434625457598950E+00;5.542949746650912E+01;-1.461942634235575E+00;-2.637708707513072E+01;-5.616585274280283E+01;7.489379360560402E+01;
2.032500000000000E+09;-1.432531712040438E+00;5.226958675877162E+01;-1.464225240935023E+00;-2.970683059750011E+01;-5.621850454166511E+01;7.142681305488456E+01;
2.033750000000000E+09;-1.432450520069949E+00;4.911046665217483E+01;-1.468353042184509E+00;-3.302824378056467E+01;-5.609522029338362E+01;6.821452624707607E+01;
2.035000000000000E+09;-1.430621391467193E+00;4.594632032416092E+01;-1.469450238451796E+00;-3.637283261653237E+01;-5.606494327975945E+01;6.317670981734559E+01;
2.036250000000000E+09;-1.430278827825070E+00;4.279325193235472E+01;-1.472739814858540E+00;-3.973274602597994E+01;-5.613275105057202E+01;5.952977129000581E+01;
2.037500000000000E+09;-1.429734210907445E+00;3.962139479791612E+01;-1.476064554954366E+00;-4.307196419117157E+01;-5.622840017373917E+01;5.644185451975925E+01;
2.038750000000000E+09;-1.428735014222074E+00;3.645456399600265E+01;-1.478746345942059E+00;-4.642658799428202E+01;-5.626311079634923E+01;5.355856234847826E+01;
2.040000000000000E+09;-1.428339383764226E+00;3.329187044634237E+01;-1.481545732801876E+00;-4.977132570718224E+01;-5.619574173205839E+01;4.946370550532123E+01;
2.041250000000000E+09;-1.428931520668358E+00;3.013324192339502E+01;-1.483036285642982E+00;-5.314383990599351E+01;-5.634391652425389E+01;4.649652914803944E+01;
2.042500000000000E+09;-1.428585173998069E+00;2.698182407560780E+01;-1.482458950867600E+00;-5.649672752191727E+01;-5.632432008432470E+01;4.225262931110170E+01;
2.043750000000000E+09;-1.429647633178406E+00;2.381014346781026E+01;-1.483582920245523E+00;-5.985257768172069E+01;-5.636658437664256E+01;3.942256561744517E+01;
2.045000000000000E+09;-1.431421892116175E+00;2.064792873164699E+01;-1.484443229372878E+00;-6.322205757914474E+01;-5.625707671927294E+01;3.542165743725563E+01;
2.046250000000000E+09;-1.430735473632677E+00;1.748069120571390E+01;-1.488196462528732E+00;-6.660155152114383E+01;-5.627201142934307E+01;3.214094714699781E+01;
