# Version 1.00
#
freq[Hz];db:Trc1_S11;ang:Trc1_S11;db:Trc2_S22;ang:Trc2_S22;db:Trc3_S21;ang:Trc3_S21;
2.000000000000000E+09;-1.481716511768256E+00;1.339985732726404E+02;-1.452473878478336E+00;5.341416867894108E+01;-5.614608908096365E+01;1.473189195485271E+02;
2.001250000000000E+09;-1.480491236421529E+00;1.308021297237433E+02;-1.451308827288737E+00;5.017307249056232E+01;-5.625488558300174E+01;1.436995159824662E+02;
2.002500000000000E+09;-1.476472726092446E+00;1.276137986524881E+02;-1.450574570019665E+00;4.693518705755026E+01;-5.646899219086595E+01;1.391555531563981E+02;
2.003750000000000E+09;-1.473127658376138E+00;1.244261466993384E+02;-1.449379725467361E+00;4.368535440697293E+01;-5.643347992993877E+01;1.366718441721498E+02;
2.005000000000000E+09;-1.471967539039292E+00;1.212475413814668E+02;-1.450498485015230E+00;4.043587809689326E+01;-5.660410542830165E+01;1.319905740932287E+02;
2.006250000000000E+09;-1.469655559162902E+00;1.180594978325192E+02;-1.448838864056759E+00;3.717063997194401E+01;-5.673487696717997E+01;1.288452747899808E+02;
2.007500000000000E+09;-1.468757330632878E+00;1.148757273925119E+02;-1.450581751711405E+00;3.390660553474873E+01;-5.697009841481297E+01;1.265818762919304E+02;
2.008750000000000E+09;-1.465053596951801E+00;1.117015458173418E+02;-1.450342464490769E+00;3.063839137976611E+01;-5.729051301438886E+01;1.232944991330982E+02;
2.010000000000000E+09;-1.462897888844936E+00;1.085270053203780E+02;-1.449702935810681E+00;2.738627328012004E+01;-5.742585626406225E+01;1.207856328391649E+02;
2.011250000000000E+09;-1.461404110252542E+00;1.053669730830773E+02;-1.451249854683653E+00;2.411838623264217E+01;-5.741739571826395E+01;1.180663748673554E+02;
2.012500000000000E+09;-1.460793231121226E+00;1.021920412969043E+02;-1.452000462616534E+00;2.084804383506949E+01;-5.744731059051980E+01;1.159773036613033E+02;
2.013750000000000E+09;-1.456617747873423E+00;9.903430023405815E+01;-1.454637935440969E+00;1.757176917160691E+01;-5.765499314253291E+01;1.119020221808657E+02;
2.015000000000000E+09;-1.457629887581434E+00;9.588545867118823E+01;-1.454157829580670E+00;1.427006898529501E+01;-5.745971541002444E+01;1.097621595009846E+02;
2.016250000000000E+09;-1.453618861632276E+00;9.272055227851895E+01;-1.454802117400767E+00;1.098695919742020E+01;-5.774429370162598E+01;1.046680239569979E+02;
2.017500000000000E+09;-1.452268027504997E+00;8.957734996661959E+01;-1.457376277048707E+00;7.699095981638038E+00;-5.796042924501967E+01;1.008608407428776E+02;
2.018750000000000E+09;-1.452148885022654E+00;8.642225131834704E+01;-1.458036183477697E+00;4.394024257816493E+00;-5.797877383976652E+01;9.729843614300982E+01;
2.020000000000000E+09;-1.448035755863156E+00;8.323886559344564E+01;-1.459638362795888E+00;1.092950335888290E+00;-5.824211686313591E+01;9.410642475735111E+01;
2.021250000000000E+09;-1.448014637914583E+00;8.011451319607686E+01;-1.461016370558701E+00;-2.214904499602269E+00;-5.867968588569668E+01;9.147540468598640E+01;
2.022500000000000E+09;-1.445894233771494E+00;7.696790068338828E+01;-1.461976919649230E+00;-5.511212224451356E+00;-5.888979211796980E+01;8.896280645950397E+01;
2.023750000000000E+09;-1.443838275450646E+00;7.381475440973419E+01;-1.463405681646680E+00;-8.825803016438268E+00;-5.906356595560574E+01;8.574311148207454E+01;
2.025000000000000E+09;-1.442311276587762E+00;7.067391497153521E+01;-1.464407664336692E+00;-1.213439170611920E+01;-5.929652175993051E+01;8.230496310081577E+01;
