# Version 1.00
#
freq[Hz];db:Trc1_S11;ang:Trc1_S11;db:Trc2_S22;ang:Trc2_S22;db:Trc3_S21;ang:Trc3_S21;
2.000000000000000E+09;-1.477352417355519E+00;1.351701480853404E+02;-1.452600103170036E+00;5.544408498923398E+01;-5.529347441032652E+01;1.287523235098097E+02;
2.001250000000000E+09;-1.476278943761343E+00;1.319754432236655E+02;-1.451449045913368E+00;5.219391128329915E+01;-5.555191973661368E+01;1.240341617130200E+02;
2.002500000000000E+09;-1.473201647430755E+00;1.287863803895926E+02;-1.450690027356863E+00;4.896439066558209E+01;-5.578206658601367E+01;1.212860976496244E+02;
2.003750000000000E+09;-1.470612201296965E+00;1.256007836261721E+02;-1.449796346914999E+00;4.572493128514822E+01;-5.611750619518777E+01;1.171679946357392E+02;
2.005000000000000E+09;-1.468049085375694E+00;1.224121267501159E+02;-1.451267378276704E+00;4.247848326292910E+01;-5.631346739742313E+01;1.132924351519319E+02;
2.006250000000000E+09;-1.465067851318133E+00;1.192375870255602E+02;-1.448586840406950E+00;3.924136075768445E+01;-5.648367224185685E+01;1.106267377472483E+02;
2.007500000000000E+09;-1.463539886435654E+00;1.160573377031470E+02;-1.449322908964504E+00;3.598099245733446E+01;-5.679976485251008E+01;1.070565216154874E+02;
2.008750000000000E+09;-1.460944111286859E+00;1.128910757990749E+02;-1.449216168022298E+00;3.273399816701420E+01;-5.711228385002773E+01;1.032187985018890E+02;
2.010000000000000E+09;-1.458333947759566E+00;1.097222338846729E+02;-1.449453280905065E+00;2.947537987808134E+01;-5.748715983673826E+01;1.010156181574844E+02;
2.011250000000000E+09;-1.457511682432277E+00;1.065656431177832E+02;-1.449751231521306E+00;2.619896255532852E+01;-5.745823806162338E+01;9.771281877391615E+01;
2.012500000000000E+09;-1.456296549349040E+00;1.033987318893373E+02;-1.451942319698940E+00;2.293891788840691E+01;-5.762293579833189E+01;9.544182333288860E+01;
2.013750000000000E+09;-1.453825827601074E+00;1.002401759460295E+02;-1.450662922913788E+00;1.965446920914436E+01;-5.793785675464790E+01;9.139257562095574E+01;
2.015000000000000E+09;-1.450419470678789E+00;9.709696830973100E+01;-1.453015076116204E+00;1.637643984419881E+01;-5.821357663195474E+01;8.718896016670257E+01;
2.016250000000000E+09;-1.449072539075464E+00;9.393115968138605E+01;-1.453585346971018E+00;1.308551203959498E+01;-5.835168309461122E+01;8.401751020376625E+01;
2.017500000000000E+09;-1.448283038698009E+00;9.076956321224293E+01;-1.454365961947470E+00;9.805200597178217E+00;-5.873336583323221E+01;8.161816624448569E+01;
2.018750000000000E+09;-1.446458147941625E+00;8.762954904674417E+01;-1.456595157660223E+00;6.511425526128534E+00;-5.906975164668282E+01;7.879505815400181E+01;
2.020000000000000E+09;-1.443863531764664E+00;8.448398636781968E+01;-1.458571793015909E+00;3.216604586644908E+00;-5.917322231593020E+01;7.575224419954971E+01;
2.021250000000000E+09;-1.442551360910694E+00;8.133257323015933E+01;-1.460879593410887E+00;-6.801067719241075E-02;-5.947851010707642E+01;7.368117488866181E+01;
2.022500000000000E+09;-1.441061611903359E+00;7.818332652226538E+01;-1.459886741587771E+00;-3.373569195211163E+00;-5.950630611815206E+01;7.239167275937272E+01;
2.023750000000000E+09;-1.439448267410735E+00;7.504373041013456E+01;-1.461929171347948E+00;-6.666727504158747E+00;-5.976680765133946E+01;6.833870809256138E+01;
2.025000000000000E+09;-1.437665132119048E+00;7.190711576426050E+01;-1.461898837191219E+00;-9.965248329656593E+00;-5.990210037995005E+01;6.588139489486635E+01;
2.026250000000000E+09;-1.436972011044228E+00;6.875248556513768E+01;-1.465064613432383E+00;-1.329840307156935E+01;-6.000108787260642E+01;6.349205549271595E+01;
2.027500000000000E+09;-1.433894412390562E+00;6.559999217042103E+01;-1.468164579026655E+00;-1.658328064565754E+01;-6.028339632618288E+01;5.991731873799571E+01;
2.028750000000000E+09;-1.434120639296560E+00;6.246083568050137E+01;-1.468564411220039E+00;-1.992132112303592E+01;-6.035277444524074E+01;5.941946189237762E+01;
2.030000000000000E+09;-1.430837342999230E+00;5.930625604697942E+01;-1.470753373070584E+00;-2.323489129651185E+01;-6.071318274280060E+01;5.497688342290312E+01;
2.031250000000000E+09;-1.429305436298494E+00;5.617236043763221E+01;-1.473819451917109E+00;-2.656015762086369E+01;-6.080657799739767E+01;5.060728980581675E+01;
2.032500000000000E+09;-1.427112762107261E+00;5.301452295262308E+01;-1.475629331655747E+00;-2.990879358131493E+01;-6.090620023541149E+01;4.885501028685841E+01;
2.033750000000000E+09;-1.429125061511493E+00;4.985696583537274E+01;-1.476239823885497E+00;-3.323590230845894E+01;-6.060532047288088E+01;4.606752196801339E+01;
2.035000000000000E+09;-1.428051468092527E+00;4.669434759934748E+01;-1.480062888237898E+00;-3.656740543870065E+01;-6.114291130743606E+01;4.268421790870495E+01;
2.036250000000000E+09;-1.427528196075558E+00;4.353941329458058E+01;-1.481434446486270E+00;-3.992249609603656E+01;-6.133492288216495E+01;3.682151618548460E+01;
2.037500000000000E+09;-1.426867595390664E+00;4.038518113174421E+01;-1.484118025392458E+00;-4.326573386115241E+01;-6.114356546748279E+01;3.413438571698615E+01;
2.038750000000000E+09;-1.426647929966325E+00;3.721905685822601E+01;-1.483946391044248E+00;-4.659229779811839E+01;-6.178386813197677E+01;3.015894790172407E+01;
2.040000000000000E+09;-1.427538037986818E+00;3.404545814284756E+01;-1.490640061923352E+00;-4.997210077943289E+01;-6.203967625910720E+01;2.549957652095033E+01;
2.041250000000000E+09;-1.427286524586794E+00;3.088450565214371E+01;-1.490962400227773E+00;-5.331579008700076E+01;-6.252674833458749E+01;2.270309202161669E+01;
2.042500000000000E+09;-1.427335535493155E+00;2.772771663097547E+01;-1.492314959135943E+00;-5.665882500690592E+01;-6.282843837043423E+01;2.038041553166608E+01;
2.043750000000000E+09;-1.428576505350208E+00;2.458562962721077E+01;-1.492563678452520E+00;-6.002319618699713E+01;-6.342183901237419E+01;1.900125767267931E+01;
2.045000000000000E+09;-1.427482973340992E+00;2.141465270722223E+01;-1.495118660317669E+00;-6.338187088544460E+01;-6.341125182377888E+01;1.456721298221783E+01;
2.046250000000000E+09;-1.429755543913734E+00;1.825224664887346E+01;-1.495136939981464E+00;-6.674495100419242E+01;-6.378221347349136E+01;9.694976631499724E+00;
2.047500000000000E+09;-1.428377515854452E+00;1.508955892979961E+01;-1.497756413188561E+00;-7.012420833621914E+01;-6.440486545886168E+01;1.046757746427179E+01;
2.048750000000000E+09;-1.427717774466220E+00;1.191290218299100E+01;-1.499423222515833E+00;-7.349383943474099E+01;-6.446661208129838E+01;4.534465617799334E+00;
2.050000000000000E+09;-1.428155726333265E+00;8.739467313691456E+00;-1.501314501741566E+00;-7.685595440290555E+01;-6.521766247824873E+01;2.756624310549454E+00;
2.051250000000000E+09;-1.429501233553016E+00;5.565641989714573E+00;-1.501889548170412E+00;-8.022859016860995E+01;-6.496440937475481E+01;1.583850266149363E+00;
2.052500000000000E+09;-1.428684880214260E+00;2.379078792363350E+00;-1.504884355607241E+00;-8.359710106916329E+01;-6.496743579231358E+01;-1.717866867233553E+00;
2.053750000000000E+09;-1.431612962241255E+00;-8.248857131576454E-01;-1.507802664520215E+00;-8.695859816453522E+01;-6.599502871314246E+01;-5.227772093567084E+00;
2.055000000000000E+09;-1.431684404777781E+00;-4.016163278857555E+00;-1.508860865192504E+00;-9.034120137653842E+01;-6.580752493065292E+01;-5.387084875081918E+00;
2.056250000000000E+09;-1.433141286397908E+00;-7.208078955965486E+00;-1.509936045962880E+00;-9.371228726781511E+01;-6.578189965094143E+01;-1.169809037690323E+01;
