# Version 1.00
#
freq[Hz];db:Trc1_S11;ang:Trc1_S11;db:Trc2_S22;ang:Trc2_S22;db:Trc3_S21;ang:Trc3_S21;
2.000000000000000E+09;-1.518718849683977E+00;1.290502391509569E+02;-1.456910216301952E+00;5.524061774242589E+01;-5.373638270267242E+01;3.413329401947738E+01;
2.001250000000000E+09;-1.513806696967503E+00;1.258376544544014E+02;-1.456067841969302E+00;5.200401183895941E+01;-5.373322788141776E+01;2.935680103879865E+01;
2.002500000000000E+09;-1.512147710728194E+00;1.226403393971579E+02;-1.455290284859923E+00;4.877155629920018E+01;-5.391106437246860E+01;2.500096524282043E+01;
2.003750000000000E+09;-1.509454601965443E+00;1.194397177223950E+02;-1.455226920481787E+00;4.552508696894920E+01;-5.394830691600914E+01;2.120634523626177E+01;
2.005000000000000E+09;-1.505675866512806E+00;1.162434683256427E+02;-1.452858338146404E+00;4.227764324543870E+01;-5.401798774998244E+01;1.730481347748414E+01;
2.006250000000000E+09;-1.504040480426163E+00;1.130477486532259E+02;-1.454905497903896E+00;3.903194945160924E+01;-5.425195712100346E+01;1.396691770372045E+01;
2.007500000000000E+09;-1.500087816351490E+00;1.098695815740274E+02;-1.453038290611872E+00;3.577291038366958E+01;-5.426923367637751E+01;9.978495882889353E+00;
2.008750000000000E+09;-1.498198048273369E+00;1.066779077388339E+02;-1.456273428539806E+00;3.252964592740341E+01;-5.430378224953642E+01;7.099769518243987E+00;
2.010000000000000E+09;-1.495288397987797E+00;1.034935630692922E+02;-1.454374392707491E+00;2.926438251488631E+01;-5.448290717316326E+01;3.601630739451824E+00;
2.011250000000000E+09;-1.492252640682696E+00;1.003137923772696E+02;-1.457755057852632E+00;2.599107266331019E+01;-5.438614865920450E+01;9.887072434078158E-01;
2.012500000000000E+09;-1.491436840047486E+00;9.714299116495171E+01;-1.457467169108686E+00;2.270498201480503E+01;-5.455663717012656E+01;-2.358503529104960E+00;
2.013750000000000E+09;-1.488796708599174E+00;9.396649305908105E+01;-1.458604206215577E+00;1.943410087675798E+01;-5.453580122022675E+01;-5.406161705227436E+00;
2.015000000000000E+09;-1.488181128006653E+00;9.079793544237319E+01;-1.458985577851867E+00;1.615914881725588E+01;-5.446067615042408E+01;-9.972992326535207E+00;
2.016250000000000E+09;-1.484810190531540E+00;8.763897780015411E+01;-1.462315114668612E+00;1.288283618920255E+01;-5.450729515900649E+01;-1.425120567896782E+01;
2.017500000000000E+09;-1.481599155030716E+00;8.448246782112312E+01;-1.465662087398891E+00;9.586244854971078E+00;-5.470015100810201E+01;-1.742655589819745E+01;
2.018750000000000E+09;-1.478993002317657E+00;8.131193262078359E+01;-1.467813927397293E+00;6.291858922106013E+00;-5.471617299652054E+01;-2.082300245193918E+01;
2.020000000000000E+09;-1.479443750056463E+00;7.815590808373578E+01;-1.468298336025358E+00;2.989141968469695E+00;-5.498348387312652E+01;-2.352331968389623E+01;
2.021250000000000E+09;-1.475039126524166E+00;7.499937385927548E+01;-1.468350049750013E+00;-2.883887239691684E-01;-5.502138852346554E+01;-2.686258247423233E+01;
2.022500000000000E+09;-1.472673200550334E+00;7.183538683478390E+01;-1.468501850092961E+00;-3.585201246455748E+00;-5.522023518495078E+01;-2.942312700827070E+01;
2.023750000000000E+09;-1.471555539247874E+00;6.868636526917908E+01;-1.472167748306008E+00;-6.878142202024650E+00;-5.533942134386634E+01;-3.205635098924053E+01;
2.025000000000000E+09;-1.468782709035430E+00;6.552570233452650E+01;-1.470614502991943E+00;-1.019558961883863E+01;-5.528850068284336E+01;-3.531246339761066E+01;
2.026250000000000E+09;-1.466718540314463E+00;6.238024035302661E+01;-1.473305324779670E+00;-1.350806203348294E+01;-5.526559966974084E+01;-3.669410043739110E+01;
2.027500000000000E+09;-1.465013569257052E+00;5.922049356611370E+01;-1.474481808190957E+00;-1.681212402205763E+01;-5.526969486519373E+01;-3.964661366283878E+01;
2.028750000000000E+09;-1.463515847688998E+00;5.605916496983225E+01;-1.478119644672655E+00;-2.014965490609411E+01;-5.518179635167121E+01;-4.238006801680218E+01;
2.030000000000000E+09;-1.462344648675592E+00;5.289412081723351E+01;-1.478618921747686E+00;-2.346108836112904E+01;-5.525744751686730E+01;-4.593762600932332E+01;
2.031250000000000E+09;-1.460182770010771E+00;4.973929908531196E+01;-1.482354833396022E+00;-2.679620585496407E+01;-5.527038940445724E+01;-4.865716968072876E+01;
2.032500000000000E+09;-1.459227926122323E+00;4.659042231390713E+01;-1.484883177458203E+00;-3.013357696069882E+01;-5.517347221023086E+01;-5.038111694056904E+01;
2.033750000000000E+09;-1.459194454604521E+00;4.342539971383345E+01;-1.490224177216847E+00;-3.344681144991463E+01;-5.505797547271007E+01;-5.491385729419848E+01;
2.035000000000000E+09;-1.456725000350251E+00;4.024722166296981E+01;-1.488034693280589E+00;-3.678891279404436E+01;-5.498131605582130E+01;-5.746113608817519E+01;
2.036250000000000E+09;-1.456809913136625E+00;3.709255113646474E+01;-1.490967827728748E+00;-4.013388806795447E+01;-5.496028326343335E+01;-6.152580457726722E+01;
2.037500000000000E+09;-1.456764191762456E+00;3.392735990948498E+01;-1.491655245259986E+00;-4.348334961425682E+01;-5.495008081486826E+01;-6.410789105918103E+01;
2.038750000000000E+09;-1.452806894786473E+00;3.076005755108687E+01;-1.494018344804836E+00;-4.684944668486518E+01;-5.504213124578346E+01;-6.781465826219259E+01;
2.040000000000000E+09;-1.453459011292062E+00;2.759247242580113E+01;-1.498881380319580E+00;-5.020049577987331E+01;-5.498087587375194E+01;-7.017088718614276E+01;
2.041250000000000E+09;-1.453145638997649E+00;2.443865442111853E+01;-1.496702496049004E+00;-5.356367743364726E+01;-5.487332918501924E+01;-7.305106124230544E+01;
