# Version 1.00
#
freq[Hz];db:Trc1_S11;ang:Trc1_S11;db:Trc2_S22;ang:Trc2_S22;db:Trc3_S21;ang:Trc3_S21;
2.000000000000000E+09;-1.506902041508915E+00;1.294391077489685E+02;-1.458771976014596E+00;5.445619691920317E+01;-5.634133997965928E+01;1.295257769940569E+02;
2.001250000000000E+09;-1.503492529705988E+00;1.262281136649502E+02;-1.458986851386008E+00;5.122645229248761E+01;-5.634878046188603E+01;1.266495421207744E+02;
2.002500000000000E+09;-1.499602325255436E+00;1.230171610768192E+02;-1.458118107920798E+00;4.797839012656738E+01;-5.627385709620580E+01;1.221388680827650E+02;
2.003750000000000E+09;-1.497495039198580E+00;1.198345580485134E+02;-1.456690980450034E+00;4.472833133649520E+01;-5.616701944660708E+01;1.185750784417208E+02;
2.005000000000000E+09;-1.494145886724867E+00;1.166485514666947E+02;-1.458540569196409E+00;4.149224105150378E+01;-5.626923345249082E+01;1.139918093248726E+02;
2.006250000000000E+09;-1.493702590788562E+00;1.134519267492624E+02;-1.457377355651850E+00;3.823131479794811E+01;-5.620371284103592E+01;1.096236149880935E+02;
2.007500000000000E+09;-1.491045496040933E+00;1.102693248686597E+02;-1.457225998792008E+00;3.497560509767033E+01;-5.643959955895728E+01;1.062968481708625E+02;
2.008750000000000E+09;-1.487069335469654E+00;1.071048791309656E+02;-1.458659428120746E+00;3.170778986477276E+01;-5.631505034644179E+01;1.029801238901003E+02;
2.010000000000000E+09;-1.484680692897737E+00;1.039147437789698E+02;-1.459482080023113E+00;2.845280630262014E+01;-5.647237986800532E+01;9.957061980959729E+01;
2.011250000000000E+09;-1.483097386275362E+00;1.007425398711252E+02;-1.459674239618279E+00;2.518538489185162E+01;-5.631320337713259E+01;9.580691777754252E+01;
2.012500000000000E+09;-1.480148612696134E+00;9.757885479332103E+01;-1.460542944779317E+00;2.190397893128824E+01;-5.654815427711914E+01;9.143912378781782E+01;
2.013750000000000E+09;-1.477665848248165E+00;9.439944640350497E+01;-1.461671747737029E+00;1.863991849014283E+01;-5.646349124199950E+01;8.839666003360811E+01;
2.015000000000000E+09;-1.476570748032670E+00;9.123209056463345E+01;-1.464302139025156E+00;1.535358770058942E+01;-5.665592199543160E+01;8.341353564607753E+01;
2.016250000000000E+09;-1.473439189747251E+00;8.807631842080158E+01;-1.466560088616389E+00;1.205823294782624E+01;-5.666690394151131E+01;8.167323331285328E+01;
2.017500000000000E+09;-1.471429249285381E+00;8.491630193915609E+01;-1.468875815943642E+00;8.773544755502945E+00;-5.654820502414506E+01;7.722480204159611E+01;
2.018750000000000E+09;-1.470116364482196E+00;8.176562989794009E+01;-1.467723665723608E+00;5.473488993938109E+00;-5.657001571767351E+01;7.293297057138359E+01;
2.020000000000000E+09;-1.466596912969133E+00;7.859081003897036E+01;-1.470622733361722E+00;2.181031510566292E+00;-5.680668943333479E+01;6.769781978980096E+01;
2.021250000000000E+09;-1.466048464631809E+00;7.544148857459021E+01;-1.471912021979907E+00;-1.108751765625413E+00;-5.703231286499154E+01;6.336989342565018E+01;
2.022500000000000E+09;-1.462875083409827E+00;7.228342185208918E+01;-1.471578675424329E+00;-4.422477555658621E+00;-5.735088843782174E+01;5.974718351172566E+01;
2.023750000000000E+09;-1.462003626567002E+00;6.912941652467410E+01;-1.474630947688811E+00;-7.712179587987992E+00;-5.771765707629718E+01;5.789801675524141E+01;
2.025000000000000E+09;-1.459212850995406E+00;6.598464106645778E+01;-1.475748194107033E+00;-1.102768652703890E+01;-5.774655422625487E+01;5.693107783828194E+01;
2.026250000000000E+09;-1.457909687069056E+00;6.283279387823850E+01;-1.476319602613141E+00;-1.432987651381383E+01;-5.809011856228310E+01;5.468602721591573E+01;
2.027500000000000E+09;-1.455265540064374E+00;5.967444838260070E+01;-1.479145845584275E+00;-1.765409472042702E+01;-5.801749479803075E+01;5.317900805381003E+01;
2.028750000000000E+09;-1.453890005131114E+00;5.652808174927522E+01;-1.481530841755266E+00;-2.097719511128159E+01;-5.812232433426292E+01;5.100167349147855E+01;
2.030000000000000E+09;-1.451180351837650E+00;5.335168652610312E+01;-1.484712447078794E+00;-2.430283509023284E+01;-5.778651974525819E+01;4.683641499761118E+01;
2.031250000000000E+09;-1.448936755094370E+00;5.021278691418773E+01;-1.485609030911979E+00;-2.763607598697576E+01;-5.823352296711492E+01;4.559878519356766E+01;
2.032500000000000E+09;-1.449319367792390E+00;4.704391663788839E+01;-1.487386845549842E+00;-3.095571501792196E+01;-5.802374525739583E+01;4.275332255680441E+01;
2.033750000000000E+09;-1.446849776923842E+00;4.388753988391166E+01;-1.489376171379685E+00;-3.429623128994859E+01;-5.801292162970029E+01;3.998209253818319E+01;
2.035000000000000E+09;-1.446815478454343E+00;4.071631079631830E+01;-1.492847022850437E+00;-3.763928113596071E+01;-5.791616753776217E+01;3.745403132625308E+01;
2.036250000000000E+09;-1.445972072806526E+00;3.754743386433704E+01;-1.493151374041212E+00;-4.098912023912700E+01;-5.799363581868673E+01;3.575743256278641E+01;
2.037500000000000E+09;-1.445330835956628E+00;3.437647370824878E+01;-1.498009215953364E+00;-4.433065765771322E+01;-5.787249845622070E+01;3.340453376701220E+01;
2.038750000000000E+09;-1.443748090686885E+00;3.120955318229069E+01;-1.499710978869680E+00;-4.770079611454542E+01;-5.809095269479346E+01;3.064913636813669E+01;
2.040000000000000E+09;-1.445096032986055E+00;2.804134352541827E+01;-1.504200109849000E+00;-5.105170733323834E+01;-5.810329756376121E+01;2.876101555516074E+01;
2.041250000000000E+09;-1.445831833331307E+00;2.487099126312432E+01;-1.503955764226779E+00;-5.440319273116693E+01;-5.817956768019255E+01;2.624598740590743E+01;
2.042500000000000E+09;-1.443266444848808E+00;2.170877272319153E+01;-1.505825453095972E+00;-5.777839275300568E+01;-5.812035420444812E+01;2.314564572130593E+01;
2.043750000000000E+09;-1.445424567623667E+00;1.855236653144857E+01;-1.507939665478473E+00;-6.113687990829253E+01;-5.770202836366040E+01;2.070292397687939E+01;
2.045000000000000E+09;-1.445818279803163E+00;1.539346452238215E+01;-1.509374468954889E+00;-6.449235134823387E+01;-5.753513250735509E+01;1.814753477287151E+01;
2.046250000000000E+09;-1.444458491002631E+00;1.220968513538385E+01;-1.509880629729845E+00;-6.785995990711905E+01;-5.780876008530592E+01;1.571513160855878E+01;
2.047500000000000E+09;-1.444453629095456E+00;9.061699183348351E+00;-1.511845394589846E+00;-7.123038908249040E+01;-5.728404227594977E+01;1.314473113247666E+01;
2.048750000000000E+09;-1.444769439935871E+00;5.879143522556469E+00;-1.514741290653004E+00;-7.460642935005230E+01;-5.739345197702998E+01;1.010029626968855E+01;
2.050000000000000E+09;-1.443753489647594E+00;2.690287055764696E+00;-1.516345187681251E+00;-7.796638878893175E+01;-5.741293423644479E+01;6.600652876321434E+00;
2.051250000000000E+09;-1.444598056700583E+00;-4.787204658709485E-01;-1.517166572280160E+00;-8.133456605468842E+01;-5.718126793162284E+01;5.423781615527055E+00;
2.052500000000000E+09;-1.446464429004882E+00;-3.681684460801665E+00;-1.518596204270617E+00;-8.471448771245207E+01;-5.701056031307925E+01;1.202985601914198E+00;
2.053750000000000E+09;-1.446665589949081E+00;-6.874419261939302E+00;-1.517996983352302E+00;-8.808991777622657E+01;-5.718694515340323E+01;-3.375993059045944E+00;
2.055000000000000E+09;-1.447358702810528E+00;-1.005293212264580E+01;-1.522930513843483E+00;-9.146416433390284E+01;-5.700228447845306E+01;-5.404009005956640E+00;
2.056250000000000E+09;-1.447768852425783E+00;-1.325437188962090E+01;-1.520964565790886E+00;-9.483746593875055E+01;-5.686177216410765E+01;-8.916535648145619E+00;
2.057500000000000E+09;-1.448077982020515E+00;-1.644460091181965E+01;-1.521243975992223E+00;-9.821225094580886E+01;-5.662693110504358E+01;-1.236416945924712E+01;
2.058750000000000E+09;-1.447589171122118E+00;-1.965341281323292E+01;-1.524718357526060E+00;-1.015716402727179E+02;-5.676312805384627E+01;-1.537491442058111E+01;
2.060000000000000E+09;-1.448021109389301E+00;-2.283634843807707E+01;-1.523788015417795E+00;-1.049484711521373E+02;-5.683711209276968E+01;-1.959702795052267E+01;
2.061250000000000E+09;-1.449207451012964E+00;-2.603925860584956E+01;-1.528104512623187E+00;-1.082984099626838E+02;-5.686363926002115E+01;-2.241305174224660E+01;
2.062500000000000E+09;-1.447305969677033E+00;-2.923656824865587E+01;-1.523494868500025E+00;-1.116600950105576E+02;-5.675299800666836E+01;-2.634419148609016E+01;
2.063750000000000E+09;-1.447012954704653E+00;-3.241351758335890E+01;-1.523848957721299E+00;-1.150282090148923E+02;-5.704254188389847E+01;-2.931095463433878E+01;
2.065000000000000E+09;-1.445974260970577E+00;-3.563273194396080E+01;-1.519754151349412E+00;-1.183954751830166E+02;-5.688350532324470E+01;-3.231097502182858E+01;
2.066250000000000E+09;-1.446158120365153E+00;-3.882832021879878E+01;-1.521951517209948E+00;-1.217398108677284E+02;-5.656670540257640E+01;-3.400700560015381E+01;
2.067500000000000E+09;-1.445257119766362E+00;-4.203600109870398E+01;-1.520759474232072E+00;-1.251020604861208E+02;-5.685259096247093E+01;-3.782964450846685E+01;
2.068750000000000E+09;-1.444055223464731E+00;-4.525127269240828E+01;-1.518337976918425E+00;-1.284520155986906E+02;-5.672127035254900E+01;-4.197052774736643E+01;
2.070000000000000E+09;-1.443884927734708E+00;-4.845707077630649E+01;-1.518453697291407E+00;-1.317978573530571E+02;-5.697581065469333E+01;-4.424039899769481E+01;
2.071250000000000E+09;-1.443048614431586E+00;-5.166675425393363E+01;-1.515135862456033E+00;-1.351304914503266E+02;-5.700519600752884E+01;-4.717106526847763E+01;
2.072500000000000E+09;-1.444812332266457E+00;-5.488683616568728E+01;-1.518528558766707E+00;-1.384732534385533E+02;-5.702260757829765E+01;-4.926420035796227E+01;
2.073750000000000E+09;-1.442957253989698E+00;-5.811181597057687E+01;-1.513836064685562E+00;-1.418118751510557E+02;-5.689264351140370E+01;-5.045458614898968E+01;
2.075000000000000E+09;-1.444725668840428E+00;-6.133550549243503E+01;-1.512145354530666E+00;-1.451285726693981E+02;-5.677762150464262E+01;-5.286246615632255E+01;
2.076250000000000E+09;-1.444231085848801E+00;-6.455866194990142E+01;-1.512099775976689E+00;-1.484600549128929E+02;-5.653546285356347E+01;-5.538230524338881E+01;
2.077500000000000E+09;-1.445119319295630E+00;-6.777678887283122E+01;-1.509966083497983E+00;-1.517493933347867E+02;-5.615631998960572E+01;-5.845166024782091E+01;
2.078750000000000E+09;-1.443607547198923E+00;-7.099768656931521E+01;-1.507952444027587E+00;-1.550861265877657E+02;-5.604389704114227E+01;-6.277401718198092E+01;
2.080000000000000E+09;-1.445152016886432E+00;-7.422334703129115E+01;-1.504718094934050E+00;-1.583904812775901E+02;-5.602500092639724E+01;-6.575097723306762E+01;
2.081250000000000E+09;-1.441144719652552E+00;-7.740732736120805E+01;-1.503749012221486E+00;-1.616894541352337E+02;-5.592099593890487E+01;-7.055275375266397E+01;
2.082500000000000E+09;-1.440626208638305E+00;-8.061695445074270E+01;-1.498148988287789E+00;-1.649887861621156E+02;-5.598256908150967E+01;-7.409837791886588E+01;
2.083750000000000E+09;-1.442188941196775E+00;-8.381671895682337E+01;-1.497081115985417E+00;-1.682751936701042E+02;-5.591878177437898E+01;-7.751959721473794E+01;
2.085000000000000E+09;-1.439816648068579E+00;-8.702812317486226E+01;-1.492847825672926E+00;-1.715615830750459E+02;-5.586246068535723E+01;-8.027140357902468E+01;
2.086250000000000E+09;-1.440373707315608E+00;-9.021824881325514E+01;-1.490404436731426E+00;-1.748269787168772E+02;-5.599875827011648E+01;-8.449721793689456E+01;
2.087500000000000E+09;-1.437362553037183E+00;-9.341552078154805E+01;-1.486095716409656E+00;-1.780938637063351E+02;-5.591695762030917E+01;-8.762267455114879E+01;
2.088750000000000E+09;-1.437294787751696E+00;-9.662388555173355E+01;-1.485272291024416E+00;1.786510620259851E+02;-5.596097880720387E+01;-9.063100790430605E+01;
2.090000000000000E+09;-1.435954280180061E+00;-9.981707936243528E+01;-1.480994817895041E+00;1.754049315172716E+02;-5.590914473524209E+01;-9.182684530183462E+01;
2.091250000000000E+09;-1.435255922381364E+00;-1.030087268604462E+02;-1.479672551963545E+00;1.721726884233608E+02;-5.616093649884333E+01;-9.512227919086610E+01;
2.092500000000000E+09;-1.435079737197596E+00;-1.062284108888878E+02;-1.473720108909922E+00;1.689384387134216E+02;-5.624286309322273E+01;-9.589070214355579E+01;
2.093750000000000E+09;-1.431799917816333E+00;-1.094254142114407E+02;-1.471726352923966E+00;1.657077170293466E+02;-5.612026178257665E+01;-9.980918675956853E+01;
2.095000000000000E+09;-1.434208343220879E+00;-1.126096447312931E+02;-1.469576137812664E+00;1.624880371990697E+02;-5.605713458786192E+01;-1.019977712879822E+02;
2.096250000000000E+09;-1.430046128933402E+00;-1.158067331119905E+02;-1.464349721467612E+00;1.592970854853719E+02;-5.564948118786506E+01;-1.052879508284785E+02;
