# Version 1.00
#
freq[Hz];db:Trc1_S11;ang:Trc1_S11;db:Trc2_S21;ang:Trc2_S21;db:Trc3_S21;ang:Trc3_S21;db:Trc4_S22;ang:Trc4_S22;db:Mem5[Trc2]_S21;ang:Mem5[Trc2]_S21;
2.627000000000000E+09;-2.389175598858284E+01;-1.369603872418594E+02;-1.012599011251553E+00;-1.009545686571502E+02;-1.012599011251553E+00;-1.009545686571502E+02;-2.438697265437906E+01;1.332166602129501E+02;5.817769251202016E+01;4.709187061456058E+00;
2.628000000000000E+09;-2.390981479066242E+01;-1.374092498281687E+02;-1.013088795531815E+00;-1.015475697136076E+02;-1.013088795531815E+00;-1.015475697136076E+02;-2.437429568627726E+01;1.328092455542468E+02;5.834870293980530E+01;6.054583152385815E+00;
2.629000000000000E+09;-2.395314603537575E+01;-1.383978236001927E+02;-1.011706855631087E+00;-1.021312197180064E+02;-1.011706855631087E+00;-1.021312197180064E+02;-2.439267095254888E+01;1.325693119593186E+02;5.802162729372444E+01;6.124589800584274E+00;
2.630000000000000E+09;-2.400007960634317E+01;-1.388118356565973E+02;-1.010081222217089E+00;-1.027331944410515E+02;-1.010081222217089E+00;-1.027331944410515E+02;-2.440403784583554E+01;1.316612716658239E+02;5.818550102540765E+01;4.350968177921003E+00;
2.631000000000000E+09;-2.408827789758417E+01;-1.395506726123132E+02;-1.012209747767733E+00;-1.032939004768081E+02;-1.012209747767733E+00;-1.032939004768081E+02;-2.445696768004354E+01;1.314561309366017E+02;5.816837521346063E+01;2.954135612153237E+00;
2.632000000000000E+09;-2.408305069138408E+01;-1.395940656015408E+02;-1.015305667819948E+00;-1.038894736566066E+02;-1.015305667819948E+00;-1.038894736566066E+02;-2.445861381861143E+01;1.308841591929558E+02;5.825543837061537E+01;5.825591583111152E+00;
2.633000000000000E+09;-2.417980803485125E+01;-1.407113734103991E+02;-1.010066365313888E+00;-1.044552028806976E+02;-1.010066365313888E+00;-1.044552028806976E+02;-2.447349553090404E+01;1.307406985467506E+02;5.810208205655582E+01;5.128604592214627E+00;
2.634000000000000E+09;-2.420535216175151E+01;-1.413785678735194E+02;-1.015472348170712E+00;-1.050524277783525E+02;-1.015472348170712E+00;-1.050524277783525E+02;-2.450926042241007E+01;1.300225467693786E+02;5.816707659862345E+01;6.207722181347044E+00;
2.635000000000000E+09;-2.430419196382836E+01;-1.417791910253006E+02;-1.012821108609229E+00;-1.056392871224810E+02;-1.012821108609229E+00;-1.056392871224810E+02;-2.452748955356747E+01;1.296399321074026E+02;5.802783036529759E+01;4.244358740425614E+00;
2.636000000000000E+09;-2.433100547818638E+01;-1.424036435880590E+02;-1.015655476033876E+00;-1.062482953265290E+02;-1.015655476033876E+00;-1.062482953265290E+02;-2.459723088557985E+01;1.294371889694884E+02;5.807564500819788E+01;3.639531825961280E+00;
2.637000000000000E+09;-2.443229153010031E+01;-1.432453336058596E+02;-1.014242952902878E+00;-1.068060383126723E+02;-1.014242952902878E+00;-1.068060383126723E+02;-2.457498376491973E+01;1.285312681151923E+02;5.832557671986812E+01;4.778951078158771E+00;
2.638000000000000E+09;-2.448892196078276E+01;-1.435960708978182E+02;-1.014771891793213E+00;-1.074220913827039E+02;-1.014771891793213E+00;-1.074220913827039E+02;-2.457679606039083E+01;1.283112831190918E+02;5.809602853496310E+01;5.097972413201242E+00;
2.639000000000000E+09;-2.454387688777274E+01;-1.439390079520455E+02;-1.014132363460545E+00;-1.079734633497134E+02;-1.014132363460545E+00;-1.079734633497134E+02;-2.462010856186149E+01;1.277909432149523E+02;5.807624011871382E+01;4.581380359371066E+00;
2.640000000000000E+09;-2.458241136579364E+01;-1.446607641510367E+02;-1.009417907255151E+00;-1.085728028519342E+02;-1.009417907255151E+00;-1.085728028519342E+02;-2.463521649102621E+01;1.273748072905541E+02;5.795713534017342E+01;5.363647116461128E+00;
2.641000000000000E+09;-2.465819595091034E+01;-1.453171171320747E+02;-1.013338700860963E+00;-1.091749118319930E+02;-1.013338700860963E+00;-1.091749118319930E+02;-2.463437655357657E+01;1.269814517381124E+02;5.820988313878594E+01;4.900690046592675E+00;
2.642000000000000E+09;-2.472524429089936E+01;-1.461905851446194E+02;-1.012603191959368E+00;-1.097484676029901E+02;-1.012603191959368E+00;-1.097484676029901E+02;-2.466919227535664E+01;1.263968045777996E+02;5.811632636302949E+01;4.157474013888922E+00;
2.643000000000000E+09;-2.488402023803818E+01;-1.464064296366971E+02;-1.009202587331522E+00;-1.103386088408451E+02;-1.009202587331522E+00;-1.103386088408451E+02;-2.473825240002849E+01;1.261810129477883E+02;5.800132605419322E+01;5.868437964548645E+00;
2.644000000000000E+09;-2.488879682080606E+01;-1.476330572735546E+02;-1.013325173222834E+00;-1.109009710036843E+02;-1.013325173222834E+00;-1.109009710036843E+02;-2.473010746299047E+01;1.256604880957062E+02;5.786451036651129E+01;3.702039381056239E+00;
